slug,winner,entry_side,entry_elapsed,entry_price,entry_confidence,shares,peak_prob_up,peak_prob_down,correct,pnl,skipped,threshold
btc-updown-5m-1776212700,Up,Down,224.0,0.76,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,False,-3.8,False,0.75
btc-updown-5m-1776213000,Down,Down,107.0,0.82,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,0.9,False,0.75
btc-updown-5m-1776213300,Up,Up,144.0,0.73,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,True,1.35,False,0.75
btc-updown-5m-1776213600,Up,Up,205.0,0.71,0.7660098671913147,5,0.7660098671913147,0.5594795644283295,True,1.45,False,0.75
btc-updown-5m-1776213900,Down,Down,145.0,0.8,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,1.0,False,0.75
btc-updown-5m-1776214200,Down,Up,60.0,0.83,0.8365311026573181,8,0.8365311026573181,0.16346889734268188,False,-6.64,False,0.75
btc-updown-5m-1776214500,Up,Up,60.0,0.77,0.8365311026573181,8,0.8365311026573181,0.16346889734268188,True,1.84,False,0.75
btc-updown-5m-1776214800,Up,Up,191.0,0.63,0.798058271408081,5,0.798058271408081,0.60118168592453,True,1.85,False,0.75
btc-updown-5m-1776215100,Up,Up,84.0,0.76,0.8365311026573181,8,0.8365311026573181,0.3956148624420166,True,1.92,False,0.75
btc-updown-5m-1776215400,Down,,,,,0,0.39881831407546997,0.6822953224182129,,0.0,True,0.75
btc-updown-5m-1776215700,Down,Down,186.0,0.8,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,1.0,False,0.75
btc-updown-5m-1776216000,Down,Down,98.0,0.83,0.7877629101276398,5,0.39881831407546997,0.7877629101276398,True,0.85,False,0.75
btc-updown-5m-1776216300,Up,Up,125.0,0.74,0.7660098671913147,5,0.7660098671913147,0.4196751117706299,True,1.3,False,0.75
btc-updown-5m-1776216600,Down,Down,215.0,0.87,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,0.65,False,0.75
btc-updown-5m-1776216900,Down,Down,83.0,0.85,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,0.75,False,0.75
btc-updown-5m-1776217200,Up,Up,98.0,0.73,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,True,1.35,False,0.75
btc-updown-5m-1776217500,Up,Down,116.0,0.82,0.7877629101276398,5,0.4280117452144623,0.7877629101276398,False,-4.1,False,0.75
btc-updown-5m-1776217800,Down,Up,88.0,0.81,0.8365311026573181,8,0.8365311026573181,0.5719882547855377,False,-6.48,False,0.75
btc-updown-5m-1776218100,Down,Up,160.0,0.72,0.7660098671913147,5,0.7660098671913147,0.5558397173881531,False,-3.6,False,0.75
btc-updown-5m-1776218400,Up,Up,133.0,0.74,0.7660098671913147,5,0.7660098671913147,0.5594795644283295,True,1.3,False,0.75
btc-updown-5m-1776218700,Down,Down,178.0,0.82,0.7877629101276398,5,0.4441602826118469,0.7877629101276398,True,0.9,False,0.75
btc-updown-5m-1776219000,Down,,,,,0,0.6043851375579834,0.6742671132087708,,0.0,True,0.75
btc-updown-5m-1776219300,Down,Up,202.0,0.73,0.798058271408081,5,0.798058271408081,0.60118168592453,False,-3.65,False,0.75
btc-updown-5m-1776219600,Down,Down,215.0,0.77,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,1.15,False,0.75
btc-updown-5m-1776219900,Down,Down,97.0,0.81,0.7877629101276398,5,0.39881831407546997,0.7877629101276398,True,0.95,False,0.75
btc-updown-5m-1776220200,Down,Down,73.0,0.81,0.7877629101276398,5,0.39881831407546997,0.7877629101276398,True,0.95,False,0.75
btc-updown-5m-1776220500,Down,Up,133.0,0.77,0.7660098671913147,5,0.7660098671913147,0.5558397173881531,False,-3.85,False,0.75
btc-updown-5m-1776220800,Up,Up,60.0,0.77,0.7660098671913147,5,0.7660098671913147,0.2339901328086853,True,1.15,False,0.75
btc-updown-5m-1776221100,Down,Down,145.0,0.82,0.7755102068185806,5,0.5803248882293701,0.7755102068185806,True,0.9,False,0.75
btc-updown-5m-1776221400,Up,Up,109.0,0.73,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,True,1.35,False,0.75
btc-updown-5m-1776221700,Up,Up,65.0,0.74,0.7660098671913147,5,0.7660098671913147,0.33005619049072266,True,1.3,False,0.75
btc-updown-5m-1776222000,Down,Down,114.0,0.81,0.7877629101276398,5,0.4441602826118469,0.7877629101276398,True,0.95,False,0.75
btc-updown-5m-1776222300,Down,,,,,0,0.6699438095092773,0.6822953224182129,,0.0,True,0.75
btc-updown-5m-1776222600,Down,,,,,0,0.6043851375579834,0.6822953224182129,,0.0,True,0.75
btc-updown-5m-1776222900,Down,Down,199.0,0.82,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,0.9,False,0.75
btc-updown-5m-1776223200,Up,Up,170.0,0.78,0.7660098671913147,5,0.7660098671913147,0.6822953224182129,True,1.1,False,0.75
btc-updown-5m-1776223500,Down,Up,102.0,0.78,0.7660098671913147,5,0.7660098671913147,0.4196751117706299,False,-3.9,False,0.75
btc-updown-5m-1776223800,Up,Up,180.0,0.71,0.7660098671913147,5,0.7660098671913147,0.60118168592453,True,1.45,False,0.75
btc-updown-5m-1776224100,Down,Down,105.0,0.8,0.7877629101276398,5,0.4441602826118469,0.7877629101276398,True,1.0,False,0.75
btc-updown-5m-1776224400,Down,,,,,0,0.6043851375579834,0.6822953224182129,,0.0,True,0.75
btc-updown-5m-1776224700,Up,Up,136.0,0.66,0.7660098671913147,5,0.7660098671913147,0.6822953224182129,True,1.7,False,0.75
btc-updown-5m-1776225000,Up,Up,111.0,0.75,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,True,1.25,False,0.75
btc-updown-5m-1776225300,Up,Up,60.0,0.86,0.8365311026573181,8,0.8365311026573181,0.16346889734268188,True,1.12,False,0.75
btc-updown-5m-1776225600,Up,Up,84.0,0.78,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,True,1.1,False,0.75
btc-updown-5m-1776225900,Down,Down,98.0,0.81,0.7877629101276398,5,0.4441602826118469,0.7877629101276398,True,0.95,False,0.75
btc-updown-5m-1776226200,Down,,,,,0,0.5803248882293701,0.6822953224182129,,0.0,True,0.75
btc-updown-5m-1776226500,Down,Up,132.0,0.82,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,False,-4.1,False,0.75
btc-updown-5m-1776226800,Down,Down,222.0,0.76,0.7755102068185806,5,0.6043851375579834,0.7755102068185806,True,1.2,False,0.75
btc-updown-5m-1776227100,Down,,,,,0,0.5803248882293701,0.6822953224182129,,0.0,True,0.75
btc-updown-5m-1776227400,Down,Down,198.0,0.87,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,0.65,False,0.75
btc-updown-5m-1776227700,Up,Up,60.0,0.77,0.8365311026573181,8,0.8365311026573181,0.16346889734268188,True,1.84,False,0.75
btc-updown-5m-1776228000,Up,Up,69.0,0.73,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,True,1.35,False,0.75
btc-updown-5m-1776228300,Up,Down,192.0,0.81,0.7877629101276398,5,0.4441602826118469,0.7877629101276398,False,-4.05,False,0.75
btc-updown-5m-1776228600,Up,Up,205.0,0.62,0.7660098671913147,5,0.7660098671913147,0.6822953224182129,True,1.9,False,0.75
btc-updown-5m-1776228900,Down,Down,99.0,0.81,0.7877629101276398,5,0.39881831407546997,0.7877629101276398,True,0.95,False,0.75
btc-updown-5m-1776229200,Up,Up,60.0,0.76,0.8333333134651184,8,0.8333333134651184,0.1666666865348816,True,1.92,False,0.75
btc-updown-5m-1776229800,Down,Up,81.0,0.73,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,False,-3.65,False,0.75
btc-updown-5m-1776230100,Up,Up,70.0,0.78,0.7660098671913147,5,0.7660098671913147,0.33005619049072266,True,1.1,False,0.75
btc-updown-5m-1776230400,Down,Down,93.0,0.81,0.7877629101276398,5,0.4280117452144623,0.7877629101276398,True,0.95,False,0.75
btc-updown-5m-1776230700,Down,Down,147.0,0.78,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,1.1,False,0.75
btc-updown-5m-1776231000,Up,Up,68.0,0.77,0.7660098671913147,5,0.7660098671913147,0.33005619049072266,True,1.15,False,0.75
btc-updown-5m-1776231300,Down,Down,140.0,0.8,0.7755102068185806,5,0.6043851375579834,0.7755102068185806,True,1.0,False,0.75
btc-updown-5m-1776231600,Up,Up,82.0,0.73,0.7660098671913147,5,0.7660098671913147,0.5594795644283295,True,1.35,False,0.75
btc-updown-5m-1776231900,Down,Up,135.0,0.73,0.798058271408081,5,0.798058271408081,0.6822953224182129,False,-3.65,False,0.75
btc-updown-5m-1776232200,Up,Up,94.0,0.74,0.7660098671913147,5,0.7660098671913147,0.60118168592453,True,1.3,False,0.75
btc-updown-5m-1776232500,Up,Up,103.0,0.65,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,True,1.75,False,0.75
btc-updown-5m-1776232800,Down,Down,180.0,0.84,0.7877629101276398,5,0.6699438095092773,0.7877629101276398,True,0.8,False,0.75
btc-updown-5m-1776233100,Up,Up,60.0,0.74,0.7660098671913147,5,0.7660098671913147,0.2339901328086853,True,1.3,False,0.75
btc-updown-5m-1776233400,Down,Up,81.0,0.74,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,False,-3.7,False,0.75
btc-updown-5m-1776233700,Up,Up,153.0,0.76,0.7660098671913147,5,0.7660098671913147,0.5558397173881531,True,1.2,False,0.75
btc-updown-5m-1776234000,Down,Down,122.0,0.8,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,1.0,False,0.75
