timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776065400.608,0.608,0.6,0.63,0.37,0.4,0.03,0.03,70719.31,1776065399000
1776065401.031,1.031,0.6,0.65,0.35,0.4,0.05,0.05,70719.31,1776065399000
1776065401.365,1.365,0.64,0.65,0.34,0.36,0.01,0.02,70719.99,1776065400000
1776065401.856,1.856,0.64,0.65,0.35,0.36,0.01,0.01,70719.99,1776065400000
1776065402.232,2.232,0.61,0.63,0.38,0.39,0.02,0.01,70720.2,1776065401000
1776065402.649,2.649,0.61,0.62,0.38,0.39,0.01,0.01,70720.2,1776065401000
1776065403.136,3.136,0.61,0.62,0.38,0.39,0.01,0.01,70720.2,1776065401000
1776065403.469,3.469,0.61,0.62,0.38,0.39,0.01,0.01,70720.2,1776065401000
1776065403.838,3.838,0.61,0.62,0.38,0.39,0.01,0.01,70720.2,1776065401000
1776065404.192,4.192,0.62,0.63,0.37,0.38,0.01,0.01,70723.84,1776065402000
1776065404.629,4.629,0.62,0.63,0.37,0.38,0.01,0.01,70723.84,1776065402000
1776065404.97,4.97,0.62,0.63,0.37,0.38,0.01,0.01,70723.92,1776065403000
1776065405.32,5.32,0.62,0.63,0.37,0.38,0.01,0.01,70723.92,1776065403000
1776065405.678,5.678,0.63,0.64,0.36,0.37,0.01,0.01,70724.56,1776065404000
1776065406.012,6.012,0.63,0.64,0.36,0.37,0.01,0.01,70724.56,1776065404000
1776065406.372,6.372,0.62,0.63,0.36,0.37,0.01,0.01,70724.56,1776065404000
1776065406.738,6.738,0.63,0.64,0.36,0.38,0.01,0.02,70724.69,1776065405000
1776065407.113,7.113,0.63,0.64,0.36,0.37,0.01,0.01,70724.69,1776065405000
1776065407.584,7.584,0.63,0.66,0.36,0.37,0.03,0.01,70725.17,1776065406000
1776065407.958,7.958,0.64,0.65,0.35,0.37,0.01,0.02,70725.17,1776065406000
1776065408.297,8.297,0.63,0.64,0.35,0.37,0.01,0.02,70725.17,1776065406000
1776065408.641,8.641,0.63,0.64,0.36,0.37,0.01,0.01,70725.17,1776065406000
