timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1775989500.563,0.563,0.51,0.52,0.48,0.49,0.01,0.01,71674.34,1775989499000
1775989501.174,1.174,0.51,0.52,0.48,0.49,0.01,0.01,71674.34,1775989499000
1775989501.518,1.518,0.51,0.52,0.48,0.49,0.01,0.01,71674.49,1775989500000
1775989502.086,2.086,0.51,0.52,0.48,0.49,0.01,0.01,71674.49,1775989500000
1775989502.561,2.561,0.51,0.52,0.48,0.49,0.01,0.01,71674.45,1775989501000
1775989503.014,3.014,0.51,0.52,0.48,0.49,0.01,0.01,71674.45,1775989501000
1775989503.363,3.363,0.51,0.52,0.48,0.49,0.01,0.01,71674.4,1775989502000
1775989503.858,3.858,0.51,0.52,0.48,0.49,0.01,0.01,71674.47,1775989503000
1775989504.197,4.197,0.51,0.52,0.48,0.49,0.01,0.01,71674.47,1775989503000
1775989504.715,4.715,0.51,0.52,0.48,0.49,0.01,0.01,71674.47,1775989503000
1775989505.076,5.076,0.51,0.52,0.48,0.49,0.01,0.01,71674.28,1775989504000
1775989505.703,5.703,0.51,0.56,0.48,0.49,0.05,0.01,71674.28,1775989504000
1775989506.048,6.048,0.53,0.54,0.46,0.47,0.01,0.01,71674.28,1775989504000
1775989506.443,6.443,0.53,0.54,0.46,0.47,0.01,0.01,71674.28,1775989504000
1775989506.781,6.781,0.53,0.54,0.46,0.47,0.01,0.01,71674.28,1775989505000
1775989507.208,7.208,0.53,0.54,0.46,0.47,0.01,0.01,71674.28,1775989505000
1775989507.614,7.614,0.53,0.54,0.46,0.47,0.01,0.01,71674.28,1775989505000
1775989508.039,8.039,0.53,0.54,0.46,0.47,0.01,0.01,71674.28,1775989506000
1775989508.431,8.431,0.53,0.54,0.46,0.47,0.01,0.01,71674.04,1775989507000
1775989508.785,8.785,0.53,0.54,0.46,0.47,0.01,0.01,71674.04,1775989507000
1775989509.2,9.2,0.53,0.54,0.46,0.47,0.01,0.01,71674.04,1775989507000
1775989509.736,9.736,0.53,0.54,0.46,0.47,0.01,0.01,71674.04,1775989508000
1775989510.129,10.129,0.53,0.54,0.46,0.47,0.01,0.01,71674.04,1775989508000
1775989510.792,10.792,0.53,0.54,0.46,0.47,0.01,0.01,71674.14,1775989509000
1775989511.132,11.132,0.53,0.54,0.46,0.47,0.01,0.01,71674.14,1775989509000
1775989511.478,11.478,0.53,0.54,0.46,0.47,0.01,0.01,71674.14,1775989510000
1775989511.858,11.858,0.53,0.54,0.46,0.47,0.01,0.01,71674.14,1775989510000
1775989512.655,12.655,0.51,0.52,0.46,0.47,0.01,0.01,71674.14,1775989511000
1775989513.004,13.004,0.32,0.38,0.62,0.66,0.06,0.04,71674.14,1775989511000
1775989513.338,13.338,0.28,0.35,0.65,0.68,0.07,0.03,71674.55,1775989512000
1775989513.687,13.687,0.32,0.33,0.63,0.68,0.01,0.05,71674.55,1775989512000
1775989514.054,14.054,0.32,0.33,0.67,0.68,0.01,0.01,71674.55,1775989512000
1775989514.402,14.402,0.32,0.33,0.67,0.68,0.01,0.01,71674.55,1775989512000
1775989514.77,14.77,0.33,0.34,0.66,0.67,0.01,0.01,71664.14,1775989513000
1775989515.152,15.152,0.33,0.34,0.66,0.67,0.01,0.01,71662.49,1775989514000
1775989515.49,15.49,0.33,0.34,0.66,0.67,0.01,0.01,71662.49,1775989514000
1775989515.825,15.825,0.32,0.34,0.66,0.67,0.02,0.01,71662.49,1775989514000
1775989516.308,16.308,0.33,0.35,0.65,0.67,0.02,0.02,71659.0,1775989515000
1775989516.663,16.663,0.33,0.35,0.65,0.66,0.02,0.01,71659.0,1775989515000
1775989517.035,17.035,0.33,0.34,0.66,0.67,0.01,0.01,71659.0,1775989515000
1775989517.408,17.408,0.33,0.34,0.66,0.67,0.01,0.01,71659.0,1775989515000
1775989517.81,17.81,0.33,0.34,0.66,0.67,0.01,0.01,71659.0,1775989515000
1775989518.218,18.218,0.33,0.34,0.66,0.67,0.01,0.01,71659.58,1775989516000
1775989518.576,18.576,0.33,0.34,0.67,0.68,0.01,0.01,71659.68,1775989517000
1775989518.932,18.932,0.33,0.34,0.66,0.67,0.01,0.01,71659.68,1775989517000
1775989519.275,19.275,0.33,0.34,0.66,0.67,0.01,0.01,71659.68,1775989517000
1775989519.629,19.629,0.33,0.34,0.66,0.67,0.01,0.01,71659.64,1775989518000
1775989520.081,20.081,0.33,0.34,0.66,0.67,0.01,0.01,71659.64,1775989518000
1775989520.462,20.462,0.33,0.34,0.66,0.67,0.01,0.01,71659.65,1775989519000
1775989521.007,21.007,0.32,0.33,0.67,0.68,0.01,0.01,71659.65,1775989519000
1775989521.443,21.443,0.29,0.33,0.67,0.68,0.04,0.01,71659.67,1775989520000
1775989521.798,21.798,0.32,0.33,0.66,0.68,0.01,0.02,71659.67,1775989520000
1775989522.184,22.184,0.32,0.33,0.67,0.68,0.01,0.01,71659.67,1775989520000
1775989522.544,22.544,0.32,0.33,0.67,0.68,0.01,0.01,71659.67,1775989520000
1775989522.913,22.913,0.32,0.33,0.67,0.68,0.01,0.01,71659.68,1775989521000
1775989523.34,23.34,0.32,0.33,0.67,0.68,0.01,0.01,71659.68,1775989521000
1775989523.689,23.689,0.32,0.33,0.67,0.68,0.01,0.01,71659.69,1775989522000
1775989524.08,24.08,0.32,0.33,0.67,0.68,0.01,0.01,71659.69,1775989523000
1775989524.473,24.473,0.32,0.33,0.67,0.68,0.01,0.01,71659.69,1775989523000
1775989524.836,24.836,0.27,0.33,0.67,0.68,0.06,0.01,71659.69,1775989523000
1775989525.183,25.183,0.29,0.32,0.68,0.69,0.03,0.01,71659.76,1775989524000
1775989525.563,25.563,0.29,0.3,0.7,0.71,0.01,0.01,71659.76,1775989524000
1775989525.954,25.954,0.29,0.31,0.7,0.71,0.02,0.01,71659.76,1775989524000
1775989526.329,26.329,0.3,0.31,0.69,0.7,0.01,0.01,71659.76,1775989525000
1775989526.663,26.663,0.3,0.31,0.69,0.7,0.01,0.01,71659.76,1775989525000
1775989527.003,27.003,0.31,0.32,0.68,0.7,0.01,0.02,71659.76,1775989525000
1775989527.363,27.363,0.3,0.31,0.68,0.7,0.01,0.02,71659.74,1775989526000
1775989527.767,27.767,0.3,0.31,0.69,0.7,0.01,0.01,71659.74,1775989526000
1775989528.115,28.115,0.32,0.34,0.67,0.7,0.02,0.03,71659.73,1775989527000
1775989528.47,28.47,0.33,0.34,0.66,0.67,0.01,0.01,71659.73,1775989527000
1775989528.828,28.828,0.33,0.34,0.66,0.67,0.01,0.01,71659.73,1775989527000
1775989529.24,29.24,0.33,0.34,0.66,0.67,0.01,0.01,71659.7,1775989528000
1775989529.583,29.583,0.34,0.36,0.65,0.66,0.02,0.01,71659.7,1775989528000
1775989529.935,29.935,0.35,0.36,0.64,0.65,0.01,0.01,71658.87,1775989529000
1775989530.271,30.271,0.35,0.36,0.64,0.65,0.01,0.01,71658.87,1775989529000
1775989530.615,30.615,0.35,0.36,0.64,0.65,0.01,0.01,71658.87,1775989529000
1775989530.951,30.951,0.35,0.36,0.64,0.65,0.01,0.01,71658.87,1775989529000
1775989531.296,31.296,0.35,0.36,0.64,0.65,0.01,0.01,71660.37,1775989530000
1775989531.694,31.694,0.35,0.36,0.64,0.65,0.01,0.01,71660.37,1775989530000
1775989532.074,32.074,0.35,0.36,0.64,0.66,0.01,0.02,71660.71,1775989531000
1775989532.446,32.446,0.35,0.36,0.64,0.65,0.01,0.01,71660.71,1775989531000
1775989532.78,32.78,0.35,0.36,0.64,0.65,0.01,0.01,71660.71,1775989531000
1775989533.123,33.123,0.34,0.36,0.64,0.66,0.02,0.02,71661.16,1775989532000
1775989533.501,33.501,0.34,0.36,0.64,0.66,0.02,0.02,71661.16,1775989532000
1775989533.862,33.862,0.34,0.35,0.65,0.66,0.01,0.01,71661.26,1775989533000
1775989534.281,34.281,0.34,0.35,0.65,0.66,0.01,0.01,71661.26,1775989533000
1775989534.884,34.884,0.34,0.35,0.65,0.66,0.01,0.01,71661.24,1775989534000
1775989535.267,35.267,0.34,0.35,0.65,0.66,0.01,0.01,71661.24,1775989534000
1775989535.652,35.652,0.34,0.35,0.65,0.66,0.01,0.01,71661.24,1775989534000
1775989536.074,36.074,0.34,0.35,0.65,0.66,0.01,0.01,71661.24,1775989534000
1775989536.475,36.475,0.34,0.35,0.65,0.66,0.01,0.01,71661.24,1775989534000
1775989536.832,36.832,0.35,0.36,0.64,0.65,0.01,0.01,71661.17,1775989535000
1775989537.621,37.621,0.35,0.36,0.64,0.65,0.01,0.01,71661.26,1775989536000
1775989538.148,38.148,0.34,0.35,0.64,0.66,0.01,0.02,71661.37,1775989537000
1775989538.57,38.57,0.34,0.36,0.65,0.66,0.02,0.01,71661.37,1775989537000
1775989538.952,38.952,0.34,0.35,0.65,0.66,0.01,0.01,71661.37,1775989538000
1775989539.627,39.627,0.34,0.35,0.65,0.66,0.01,0.01,71661.37,1775989538000
1775989540.058,40.058,0.34,0.35,0.65,0.66,0.01,0.01,71661.1,1775989539000
1775989540.535,40.535,0.33,0.34,0.66,0.67,0.01,0.01,71661.1,1775989539000
1775989541.052,41.052,0.33,0.34,0.66,0.67,0.01,0.01,71661.2,1775989540000
1775989541.411,41.411,0.34,0.35,0.65,0.66,0.01,0.01,71661.2,1775989540000
1775989541.752,41.752,0.33,0.35,0.65,0.67,0.02,0.02,71661.2,1775989540000
1775989542.09,42.09,0.33,0.35,0.65,0.66,0.02,0.01,71661.2,1775989540000
1775989542.482,42.482,0.33,0.34,0.66,0.67,0.01,0.01,71661.1,1775989541000
