timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price
1775849100.538,0.538,0.5,0.51,0.47,0.48,0.01,0.01,73087.93
1775849101.165,1.165,0.5,0.51,0.49,0.5,0.01,0.01,73087.93
1775849101.656,1.656,0.5,0.51,0.49,0.5,0.01,0.01,73087.93
1775849102.021,2.021,0.5,0.51,0.49,0.5,0.01,0.01,73087.96
1775849102.374,2.374,0.5,0.51,0.48,0.5,0.01,0.02,73087.93
1775849102.735,2.735,0.5,0.52,0.49,0.5,0.02,0.01,73087.93
1775849103.147,3.147,0.5,0.52,0.48,0.5,0.02,0.02,73087.93
1775849103.635,3.635,0.5,0.51,0.49,0.5,0.01,0.01,73087.94
1775849104.015,4.015,0.5,0.51,0.49,0.5,0.01,0.01,73087.94
1775849104.394,4.394,0.5,0.51,0.49,0.5,0.01,0.01,73087.96
1775849104.892,4.892,0.52,0.53,0.47,0.48,0.01,0.01,73087.96
1775849105.229,5.229,0.52,0.53,0.47,0.48,0.01,0.01,73087.96
1775849105.57,5.57,0.52,0.53,0.47,0.48,0.01,0.01,73087.96
1775849105.945,5.945,0.52,0.53,0.47,0.48,0.01,0.01,73087.99
1775849106.444,6.444,0.52,0.53,0.47,0.48,0.01,0.01,73087.99
1775849106.824,6.824,0.52,0.54,0.47,0.48,0.02,0.01,73087.99
1775849107.239,7.239,0.52,0.53,0.47,0.48,0.01,0.01,73088.3
1775849107.654,7.654,0.52,0.53,0.47,0.48,0.01,0.01,73088.3
1775849107.999,7.999,0.46,0.47,0.53,0.54,0.01,0.01,73088.3
1775849108.338,8.338,0.45,0.46,0.54,0.55,0.01,0.01,73088.3
1775849108.801,8.801,0.45,0.46,0.54,0.55,0.01,0.01,73088.27
1775849109.151,9.151,0.45,0.46,0.54,0.55,0.01,0.01,73088.27
1775849109.504,9.504,0.45,0.46,0.54,0.55,0.01,0.01,73088.27
1775849109.952,9.952,0.43,0.44,0.56,0.57,0.01,0.01,73088.27
1775849110.289,10.289,0.42,0.43,0.56,0.58,0.01,0.02,73088.27
1775849110.694,10.694,0.4,0.41,0.59,0.6,0.01,0.01,73088.27
1775849111.032,11.032,0.4,0.41,0.59,0.6,0.01,0.01,73078.73
1775849111.38,11.38,0.4,0.41,0.59,0.6,0.01,0.01,73078.73
1775849111.724,11.724,0.4,0.41,0.59,0.6,0.01,0.01,73077.76
1775849112.074,12.074,0.4,0.41,0.59,0.6,0.01,0.01,73077.76
1775849112.416,12.416,0.4,0.41,0.59,0.6,0.01,0.01,73074.27
1775849112.832,12.832,0.4,0.42,0.59,0.6,0.02,0.01,73074.27
1775849113.255,13.255,0.41,0.42,0.58,0.59,0.01,0.01,73074.27
1775849113.674,13.674,0.41,0.42,0.58,0.59,0.01,0.01,73073.95
1775849114.12,14.12,0.42,0.43,0.57,0.59,0.01,0.02,73073.95
1775849114.46,14.46,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849114.83,14.83,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849115.251,15.251,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849115.604,15.604,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849116.028,16.028,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849116.366,16.366,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849116.944,16.944,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849117.381,17.381,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849117.737,17.737,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849118.082,18.082,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849118.719,18.719,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849119.13,19.13,0.41,0.42,0.57,0.59,0.01,0.02,73073.95
1775849119.516,19.516,0.41,0.42,0.58,0.59,0.01,0.01,73073.95
1775849119.855,19.855,0.41,0.43,0.58,0.59,0.02,0.01,73073.95
1775849120.2,20.2,0.42,0.44,0.57,0.58,0.02,0.01,73073.95
1775849120.533,20.533,0.43,0.45,0.55,0.57,0.02,0.02,73073.95
1775849120.894,20.894,0.45,0.46,0.54,0.55,0.01,0.01,73073.95
1775849121.23,21.23,0.43,0.44,0.56,0.57,0.01,0.01,73073.95
1775849121.58,21.58,0.42,0.43,0.57,0.58,0.01,0.01,73073.95
1775849122.005,22.005,0.41,0.42,0.57,0.59,0.01,0.02,73073.95
1775849122.392,22.392,0.41,0.42,0.58,0.59,0.01,0.01,73074.46
1775849122.767,22.767,0.41,0.42,0.58,0.59,0.01,0.01,73074.46
1775849123.142,23.142,0.41,0.42,0.58,0.59,0.01,0.01,73074.46
1775849123.481,23.481,0.41,0.42,0.58,0.59,0.01,0.01,73074.08
1775849124.056,24.056,0.41,0.42,0.58,0.59,0.01,0.01,73074.08
1775849124.478,24.478,0.41,0.42,0.58,0.59,0.01,0.01,73074.08
1775849124.828,24.828,0.41,0.42,0.58,0.59,0.01,0.01,73074.08
