timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776851400.656,0.656,0.52,0.54,0.46,0.47,0.02,0.01,78123.07,1776851399000
1776851400.993,0.993,0.51,0.52,0.47,0.49,0.01,0.02,78123.07,1776851399000
1776851401.45,1.45,0.51,0.52,0.48,0.49,0.01,0.01,78122.12,1776851400000
1776851401.962,1.962,0.51,0.52,0.48,0.49,0.01,0.01,78122.12,1776851400000
1776851402.327,2.327,0.51,0.52,0.48,0.49,0.01,0.01,78122.12,1776851401000
1776851402.787,2.787,0.5,0.51,0.48,0.5,0.01,0.02,78122.12,1776851401000
1776851403.126,3.126,0.5,0.51,0.49,0.5,0.01,0.01,78122.12,1776851401000
1776851403.533,3.533,0.5,0.51,0.49,0.5,0.01,0.01,78120.51,1776851402000
1776851404.12,4.12,0.5,0.51,0.49,0.5,0.01,0.01,78120.51,1776851402000
1776851404.726,4.726,0.5,0.51,0.49,0.5,0.01,0.01,78120.14,1776851403000
1776851405.446,5.446,0.5,0.51,0.49,0.5,0.01,0.01,78120.14,1776851403000
1776851406.11,6.11,0.5,0.51,0.49,0.5,0.01,0.01,78120.25,1776851405000
1776851406.612,6.612,0.5,0.51,0.49,0.5,0.01,0.01,78120.25,1776851405000
1776851406.999,6.999,0.5,0.51,0.49,0.5,0.01,0.01,78120.25,1776851405000
1776851407.332,7.332,0.54,0.55,0.45,0.46,0.01,0.01,78120.01,1776851406000
1776851407.671,7.671,0.56,0.57,0.43,0.44,0.01,0.01,78120.01,1776851406000
1776851408.091,8.091,0.57,0.58,0.42,0.44,0.01,0.02,78120.01,1776851406000
1776851408.466,8.466,0.57,0.58,0.42,0.43,0.01,0.01,78120.01,1776851406000
1776851408.831,8.831,0.57,0.58,0.42,0.43,0.01,0.01,78121.72,1776851407000
1776851409.185,9.185,0.58,0.59,0.41,0.42,0.01,0.01,78126.23,1776851408000
1776851409.551,9.551,0.58,0.59,0.41,0.42,0.01,0.01,78126.23,1776851408000
1776851409.912,9.912,0.59,0.6,0.4,0.41,0.01,0.01,78126.23,1776851408000
1776851410.386,10.386,0.59,0.6,0.4,0.41,0.01,0.01,78131.44,1776851409000
1776851410.903,10.903,0.59,0.6,0.4,0.41,0.01,0.01,78131.44,1776851409000
1776851411.267,11.267,0.59,0.6,0.4,0.41,0.01,0.01,78131.44,1776851409000
1776851411.605,11.605,0.59,0.6,0.4,0.41,0.01,0.01,78132.99,1776851410000
1776851411.961,11.961,0.61,0.62,0.38,0.39,0.01,0.01,78132.99,1776851410000
1776851412.39,12.39,0.61,0.62,0.38,0.39,0.01,0.01,78133.14,1776851411000
1776851412.898,12.898,0.61,0.62,0.38,0.39,0.01,0.01,78133.14,1776851411000
1776851413.238,13.238,0.61,0.62,0.38,0.39,0.01,0.01,78133.14,1776851411000
1776851413.571,13.571,0.61,0.62,0.38,0.39,0.01,0.01,78133.66,1776851412000
1776851414.23,14.23,0.61,0.62,0.38,0.39,0.01,0.01,78133.66,1776851412000
1776851414.658,14.658,0.62,0.63,0.38,0.39,0.01,0.01,78134.55,1776851413000
1776851415.023,15.023,0.62,0.63,0.37,0.38,0.01,0.01,78137.0,1776851414000
1776851415.364,15.364,0.62,0.63,0.37,0.38,0.01,0.01,78137.0,1776851414000
1776851415.812,15.812,0.62,0.63,0.37,0.38,0.01,0.01,78137.0,1776851414000
1776851416.239,16.239,0.62,0.63,0.37,0.38,0.01,0.01,78137.28,1776851415000
1776851416.646,16.646,0.62,0.63,0.37,0.38,0.01,0.01,78137.28,1776851415000
1776851416.993,16.993,0.62,0.63,0.37,0.38,0.01,0.01,78137.28,1776851415000
1776851417.556,17.556,0.62,0.63,0.37,0.38,0.01,0.01,78137.63,1776851416000
