timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776453600.573,0.573,0.53,0.54,0.46,0.48,0.01,0.02,77357.69,1776453599000
1776453600.928,0.928,0.57,0.58,0.42,0.43,0.01,0.01,77357.69,1776453599000
1776453601.326,1.326,0.57,0.58,0.42,0.43,0.01,0.01,77359.2,1776453600000
1776453601.681,1.681,0.58,0.59,0.41,0.43,0.01,0.02,77359.2,1776453600000
1776453602.025,2.025,0.58,0.59,0.41,0.42,0.01,0.01,77359.2,1776453600000
1776453602.546,2.546,0.57,0.59,0.41,0.42,0.02,0.01,77361.87,1776453601000
1776453602.928,2.928,0.57,0.58,0.42,0.43,0.01,0.01,77361.87,1776453601000
1776453603.31,3.31,0.57,0.58,0.42,0.43,0.01,0.01,77375.55,1776453602000
1776453603.744,3.744,0.56,0.57,0.43,0.44,0.01,0.01,77375.55,1776453602000
1776453604.251,4.251,0.56,0.57,0.43,0.44,0.01,0.01,77376.61,1776453603000
1776453604.645,4.645,0.56,0.57,0.43,0.44,0.01,0.01,77376.61,1776453603000
1776453605.239,5.239,0.56,0.57,0.43,0.44,0.01,0.01,77376.61,1776453603000
1776453605.573,5.573,0.56,0.57,0.43,0.44,0.01,0.01,77376.61,1776453604000
1776453605.928,5.928,0.56,0.57,0.43,0.44,0.01,0.01,77376.61,1776453604000
1776453606.531,6.531,0.57,0.58,0.42,0.43,0.01,0.01,77376.61,1776453605000
1776453607.193,7.193,0.57,0.58,0.42,0.43,0.01,0.01,77376.61,1776453605000
1776453607.541,7.541,0.57,0.59,0.41,0.43,0.02,0.02,77377.18,1776453606000
1776453607.887,7.887,0.64,0.69,0.31,0.36,0.05,0.05,77377.18,1776453606000
1776453608.354,8.354,0.68,0.69,0.3,0.32,0.01,0.02,77377.18,1776453607000
1776453608.697,8.697,0.68,0.69,0.31,0.32,0.01,0.01,77377.18,1776453607000
1776453609.032,9.032,0.68,0.69,0.31,0.32,0.01,0.01,77377.18,1776453607000
1776453609.379,9.379,0.68,0.69,0.31,0.32,0.01,0.01,77399.82,1776453608000
1776453609.835,9.835,0.68,0.69,0.31,0.32,0.01,0.01,77399.82,1776453608000
1776453610.172,10.172,0.68,0.69,0.31,0.32,0.01,0.01,77399.82,1776453608000
1776453610.526,10.526,0.68,0.69,0.31,0.32,0.01,0.01,77409.06,1776453609000
1776453610.861,10.861,0.68,0.69,0.31,0.32,0.01,0.01,77409.06,1776453609000
1776453611.263,11.263,0.68,0.7,0.31,0.32,0.02,0.01,77409.3,1776453610000
1776453611.712,11.712,0.69,0.7,0.3,0.32,0.01,0.02,77409.3,1776453610000
1776453612.168,12.168,0.69,0.7,0.3,0.31,0.01,0.01,77409.3,1776453610000
1776453612.542,12.542,0.69,0.7,0.3,0.31,0.01,0.01,77409.05,1776453611000
1776453612.91,12.91,0.69,0.7,0.3,0.31,0.01,0.01,77409.05,1776453611000
