timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price
1775889900.532,0.532,0.48,0.49,0.51,0.52,0.01,0.01,72755.22
1775889900.866,0.866,0.49,0.5,0.5,0.52,0.01,0.02,72755.22
1775889901.202,1.202,0.49,0.5,0.5,0.51,0.01,0.01,72755.22
1775889901.84,1.84,0.49,0.5,0.5,0.52,0.01,0.02,72755.2
1775889902.252,2.252,0.49,0.5,0.5,0.51,0.01,0.01,72755.2
1775889902.647,2.647,0.48,0.49,0.5,0.52,0.01,0.02,72755.18
1775889903.032,3.032,0.48,0.49,0.51,0.52,0.01,0.01,72755.18
1775889903.366,3.366,0.48,0.49,0.51,0.52,0.01,0.01,72755.09
1775889903.736,3.736,0.48,0.49,0.51,0.52,0.01,0.01,72755.09
1775889904.142,4.142,0.48,0.49,0.51,0.52,0.01,0.01,72755.09
1775889904.873,4.873,0.48,0.51,0.51,0.52,0.03,0.01,72755.09
1775889905.249,5.249,0.49,0.5,0.5,0.51,0.01,0.01,72754.81
1775889905.631,5.631,0.49,0.5,0.5,0.51,0.01,0.01,72754.81
1775889905.987,5.987,0.48,0.5,0.5,0.51,0.02,0.01,72754.81
1775889906.604,6.604,0.45,0.46,0.54,0.55,0.01,0.01,72755.04
1775889906.964,6.964,0.45,0.46,0.54,0.55,0.01,0.01,72755.04
1775889907.335,7.335,0.43,0.44,0.55,0.58,0.01,0.03,72755.04
1775889907.83,7.83,0.41,0.42,0.56,0.6,0.01,0.04,72753.27
1775889908.268,8.268,0.41,0.42,0.58,0.59,0.01,0.01,72753.36
1775889908.667,8.667,0.41,0.42,0.58,0.59,0.01,0.01,72753.36
1775889909.212,9.212,0.41,0.42,0.58,0.59,0.01,0.01,72753.36
1775889910.119,10.119,0.41,0.43,0.58,0.59,0.02,0.01,72753.1
1775889910.495,10.495,0.42,0.43,0.57,0.58,0.01,0.01,72753.28
1775889910.962,10.962,0.42,0.43,0.57,0.58,0.01,0.01,72753.28
1775889911.446,11.446,0.42,0.43,0.57,0.58,0.01,0.01,72753.28
1775889911.93,11.93,0.44,0.45,0.55,0.58,0.01,0.03,72753.29
1775889912.352,12.352,0.44,0.45,0.55,0.56,0.01,0.01,72753.29
1775889912.696,12.696,0.42,0.43,0.57,0.58,0.01,0.01,72753.29
1775889913.09,13.09,0.42,0.43,0.57,0.58,0.01,0.01,72753.29
1775889913.75,13.75,0.42,0.43,0.57,0.58,0.01,0.01,72753.03
1775889914.324,14.324,0.46,0.48,0.49,0.58,0.02,0.09,72753.03
1775889914.754,14.754,0.46,0.47,0.52,0.54,0.01,0.02,72753.03
