timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1777035600.515,0.515,0.52,0.53,0.46,0.47,0.01,0.01,78287.92,1777035599000
1777035600.98,0.98,0.52,0.53,0.47,0.48,0.01,0.01,78287.92,1777035599000
1777035601.583,1.583,0.52,0.53,0.47,0.48,0.01,0.01,78286.93,1777035600000
1777035601.959,1.959,0.58,0.59,0.41,0.42,0.01,0.01,78286.93,1777035600000
1777035602.446,2.446,0.52,0.55,0.45,0.48,0.03,0.03,78286.48,1777035601000
1777035602.842,2.842,0.51,0.52,0.47,0.48,0.01,0.01,78286.48,1777035601000
1777035603.203,3.203,0.5,0.51,0.49,0.5,0.01,0.01,78288.45,1777035602000
1777035603.568,3.568,0.5,0.51,0.49,0.5,0.01,0.01,78288.45,1777035602000
1777035603.939,3.939,0.5,0.51,0.49,0.5,0.01,0.01,78288.45,1777035602000
1777035604.293,4.293,0.5,0.51,0.49,0.5,0.01,0.01,78290.5,1777035603000
1777035604.719,4.719,0.5,0.51,0.49,0.5,0.01,0.01,78290.5,1777035603000
1777035605.115,5.115,0.5,0.51,0.49,0.5,0.01,0.01,78290.5,1777035603000
1777035605.671,5.671,0.5,0.51,0.49,0.5,0.01,0.01,78290.5,1777035603000
1777035606.149,6.149,0.5,0.51,0.49,0.5,0.01,0.01,78285.35,1777035604000
1777035606.486,6.486,0.51,0.52,0.48,0.49,0.01,0.01,78285.13,1777035605000
1777035606.857,6.857,0.54,0.55,0.45,0.46,0.01,0.01,78285.13,1777035605000
1777035607.252,7.252,0.58,0.59,0.41,0.42,0.01,0.01,78285.25,1777035606000
1777035607.611,7.611,0.58,0.59,0.41,0.42,0.01,0.01,78285.25,1777035606000
1777035607.953,7.953,0.59,0.6,0.4,0.41,0.01,0.01,78285.25,1777035606000
1777035608.335,8.335,0.59,0.6,0.4,0.41,0.01,0.01,78285.25,1777035606000
1777035608.773,8.773,0.59,0.6,0.4,0.41,0.01,0.01,78288.35,1777035607000
1777035609.126,9.126,0.59,0.66,0.34,0.41,0.07,0.07,78288.35,1777035607000
1777035609.499,9.499,0.66,0.67,0.33,0.34,0.01,0.01,78297.57,1777035608000
1777035609.912,9.912,0.66,0.68,0.33,0.34,0.02,0.01,78297.57,1777035608000
1777035610.38,10.38,0.67,0.69,0.31,0.33,0.02,0.02,78297.57,1777035608000
1777035610.724,10.724,0.68,0.69,0.31,0.33,0.01,0.02,78311.63,1777035609000
1777035611.125,11.125,0.68,0.69,0.31,0.32,0.01,0.01,78311.63,1777035609000
1777035611.568,11.568,0.68,0.69,0.31,0.32,0.01,0.01,78315.58,1777035610000
1777035611.911,11.911,0.68,0.69,0.31,0.32,0.01,0.01,78315.58,1777035610000
1777035612.261,12.261,0.68,0.69,0.31,0.32,0.01,0.01,78315.58,1777035610000
1777035612.602,12.602,0.69,0.7,0.3,0.31,0.01,0.01,78321.68,1777035611000
1777035613.028,13.028,0.69,0.7,0.3,0.31,0.01,0.01,78321.68,1777035611000
1777035613.572,13.572,0.69,0.7,0.3,0.31,0.01,0.01,78323.15,1777035612000
