timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776589800.514,0.514,0.48,0.5,0.5,0.52,0.02,0.02,75224.11,1776589799000
1776589800.939,0.939,0.55,0.56,0.44,0.45,0.01,0.01,75224.11,1776589799000
1776589801.283,1.283,0.55,0.56,0.43,0.45,0.01,0.02,75224.22,1776589800000
1776589801.617,1.617,0.55,0.57,0.44,0.45,0.02,0.01,75224.22,1776589800000
1776589802.016,2.016,0.57,0.58,0.43,0.44,0.01,0.01,75224.22,1776589800000
1776589802.675,2.675,0.57,0.58,0.42,0.43,0.01,0.01,75225.79,1776589801000
1776589803.172,3.172,0.57,0.58,0.42,0.43,0.01,0.01,75225.79,1776589801000
1776589803.534,3.534,0.57,0.58,0.42,0.43,0.01,0.01,75228.85,1776589802000
1776589803.953,3.953,0.57,0.58,0.42,0.43,0.01,0.01,75228.85,1776589802000
1776589804.304,4.304,0.57,0.58,0.42,0.43,0.01,0.01,75230.78,1776589803000
1776589804.663,4.663,0.57,0.58,0.42,0.43,0.01,0.01,75230.78,1776589803000
1776589804.997,4.997,0.57,0.58,0.42,0.43,0.01,0.01,75230.78,1776589803000
1776589805.33,5.33,0.57,0.58,0.42,0.43,0.01,0.01,75230.79,1776589804000
1776589805.74,5.74,0.57,0.58,0.42,0.43,0.01,0.01,75230.79,1776589804000
1776589806.11,6.11,0.57,0.58,0.42,0.43,0.01,0.01,75230.79,1776589804000
1776589806.445,6.445,0.56,0.58,0.43,0.44,0.02,0.01,75230.79,1776589804000
1776589806.896,6.896,0.56,0.57,0.43,0.44,0.01,0.01,75230.8,1776589805000
1776589807.248,7.248,0.63,0.65,0.35,0.38,0.02,0.03,75230.8,1776589805000
1776589807.644,7.644,0.64,0.65,0.35,0.36,0.01,0.01,75230.81,1776589806000
1776589807.986,7.986,0.64,0.65,0.35,0.36,0.01,0.01,75230.81,1776589806000
1776589808.363,8.363,0.64,0.65,0.35,0.36,0.01,0.01,75230.81,1776589806000
