timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776240600.554,0.554,0.51,0.52,0.48,0.49,0.01,0.01,73771.08,1776240599000
1776240600.937,0.937,0.5,0.51,0.49,0.5,0.01,0.01,73771.06,1776240600000
1776240601.39,1.39,0.5,0.51,0.49,0.5,0.01,0.01,73771.06,1776240600000
1776240601.77,1.77,0.5,0.51,0.49,0.5,0.01,0.01,73771.06,1776240600000
1776240602.242,2.242,0.49,0.5,0.49,0.51,0.01,0.02,73770.98,1776240601000
1776240602.663,2.663,0.49,0.5,0.5,0.51,0.01,0.01,73770.98,1776240601000
1776240603.033,3.033,0.48,0.49,0.5,0.52,0.01,0.02,73770.98,1776240601000
1776240603.419,3.419,0.48,0.49,0.51,0.52,0.01,0.01,73768.52,1776240602000
1776240603.822,3.822,0.48,0.49,0.51,0.52,0.01,0.01,73768.52,1776240602000
1776240604.178,4.178,0.46,0.47,0.51,0.53,0.01,0.02,73768.52,1776240602000
1776240604.512,4.512,0.45,0.46,0.53,0.55,0.01,0.02,73765.95,1776240603000
1776240604.937,4.937,0.45,0.46,0.54,0.55,0.01,0.01,73765.95,1776240603000
1776240605.357,5.357,0.45,0.46,0.54,0.55,0.01,0.01,73765.73,1776240604000
1776240605.808,5.808,0.45,0.46,0.54,0.55,0.01,0.01,73765.73,1776240604000
1776240606.17,6.17,0.45,0.46,0.54,0.55,0.01,0.01,73765.73,1776240604000
1776240606.649,6.649,0.45,0.46,0.54,0.55,0.01,0.01,73764.74,1776240605000
1776240607.012,7.012,0.45,0.46,0.54,0.55,0.01,0.01,73764.74,1776240605000
1776240607.468,7.468,0.44,0.45,0.54,0.56,0.01,0.02,73763.86,1776240606000
1776240607.865,7.865,0.43,0.44,0.55,0.56,0.01,0.01,73763.86,1776240606000
1776240608.242,8.242,0.43,0.44,0.56,0.57,0.01,0.01,73763.11,1776240607000
1776240608.763,8.763,0.42,0.44,0.56,0.57,0.02,0.01,73763.11,1776240607000
1776240609.122,9.122,0.41,0.42,0.58,0.59,0.01,0.01,73763.11,1776240607000
1776240609.497,9.497,0.4,0.41,0.59,0.6,0.01,0.01,73763.11,1776240608000
1776240609.867,9.867,0.4,0.41,0.59,0.6,0.01,0.01,73763.11,1776240608000
1776240610.292,10.292,0.4,0.41,0.59,0.6,0.01,0.01,73760.45,1776240609000
1776240610.679,10.679,0.4,0.41,0.59,0.6,0.01,0.01,73760.45,1776240609000
1776240611.214,11.214,0.4,0.41,0.59,0.6,0.01,0.01,73760.45,1776240609000
1776240611.551,11.551,0.4,0.41,0.59,0.6,0.01,0.01,73756.44,1776240610000
1776240611.949,11.949,0.38,0.39,0.6,0.61,0.01,0.01,73756.44,1776240610000
1776240612.332,12.332,0.36,0.37,0.62,0.63,0.01,0.01,73756.44,1776240610000
1776240612.684,12.684,0.36,0.37,0.63,0.64,0.01,0.01,73756.29,1776240611000
1776240613.067,13.067,0.35,0.36,0.64,0.65,0.01,0.01,73754.66,1776240612000
1776240613.415,13.415,0.35,0.36,0.64,0.65,0.01,0.01,73754.66,1776240612000
1776240613.827,13.827,0.35,0.36,0.64,0.65,0.01,0.01,73754.66,1776240612000
1776240614.181,14.181,0.35,0.36,0.64,0.65,0.01,0.01,73752.0,1776240613000
1776240614.539,14.539,0.35,0.36,0.64,0.65,0.01,0.01,73752.0,1776240613000
1776240615.207,15.207,0.34,0.35,0.64,0.65,0.01,0.01,73752.0,1776240613000
1776240615.598,15.598,0.34,0.35,0.65,0.66,0.01,0.01,73748.02,1776240614000
1776240615.98,15.98,0.34,0.35,0.65,0.66,0.01,0.01,73748.02,1776240614000
1776240616.336,16.336,0.34,0.35,0.65,0.66,0.01,0.01,73748.55,1776240615000
1776240616.745,16.745,0.34,0.35,0.65,0.66,0.01,0.01,73748.55,1776240615000
1776240617.134,17.134,0.34,0.35,0.65,0.66,0.01,0.01,73748.55,1776240615000
1776240617.75,17.75,0.34,0.35,0.65,0.66,0.01,0.01,73748.12,1776240616000
1776240618.381,18.381,0.34,0.35,0.65,0.66,0.01,0.01,73751.57,1776240617000
1776240618.778,18.778,0.34,0.35,0.65,0.66,0.01,0.01,73751.57,1776240617000
1776240619.202,19.202,0.34,0.35,0.65,0.66,0.01,0.01,73748.37,1776240618000
1776240619.718,19.718,0.34,0.35,0.65,0.66,0.01,0.01,73748.37,1776240618000
1776240620.058,20.058,0.34,0.35,0.65,0.66,0.01,0.01,73748.37,1776240618000
1776240620.402,20.402,0.34,0.35,0.65,0.66,0.01,0.01,73747.7,1776240619000
1776240620.735,20.735,0.34,0.35,0.65,0.66,0.01,0.01,73747.7,1776240619000
1776240621.188,21.188,0.34,0.35,0.65,0.66,0.01,0.01,73747.7,1776240620000
1776240621.56,21.56,0.34,0.35,0.65,0.66,0.01,0.01,73747.7,1776240620000
1776240621.935,21.935,0.33,0.34,0.66,0.67,0.01,0.01,73747.7,1776240620000
1776240622.293,22.293,0.32,0.34,0.66,0.67,0.02,0.01,73747.7,1776240620000
1776240622.696,22.696,0.3,0.31,0.69,0.7,0.01,0.01,73746.78,1776240621000
1776240623.181,23.181,0.3,0.31,0.69,0.7,0.01,0.01,73746.78,1776240621000
1776240623.524,23.524,0.3,0.31,0.69,0.7,0.01,0.01,73746.81,1776240622000
1776240623.901,23.901,0.3,0.31,0.69,0.7,0.01,0.01,73746.81,1776240622000
1776240624.24,24.24,0.29,0.3,0.7,0.71,0.01,0.01,73746.81,1776240622000
1776240624.604,24.604,0.29,0.3,0.7,0.71,0.01,0.01,73743.19,1776240623000
1776240625.161,25.161,0.29,0.3,0.7,0.71,0.01,0.01,73743.19,1776240623000
1776240625.749,25.749,0.29,0.3,0.7,0.71,0.01,0.01,73740.22,1776240624000
1776240626.122,26.122,0.29,0.3,0.7,0.71,0.01,0.01,73738.06,1776240625000
1776240626.54,26.54,0.29,0.3,0.7,0.71,0.01,0.01,73738.06,1776240625000
1776240626.921,26.921,0.29,0.3,0.7,0.71,0.01,0.01,73738.06,1776240625000
1776240627.347,27.347,0.29,0.3,0.7,0.71,0.01,0.01,73740.79,1776240626000
1776240627.721,27.721,0.28,0.3,0.7,0.71,0.02,0.01,73740.79,1776240626000
1776240628.231,28.231,0.28,0.29,0.71,0.72,0.01,0.01,73740.79,1776240626000
1776240628.665,28.665,0.27,0.28,0.71,0.73,0.01,0.02,73740.7,1776240627000
1776240629.035,29.035,0.27,0.28,0.72,0.73,0.01,0.01,73740.7,1776240627000
1776240629.521,29.521,0.27,0.28,0.72,0.73,0.01,0.01,73740.7,1776240627000
1776240630.136,30.136,0.27,0.28,0.72,0.73,0.01,0.01,73737.74,1776240628000
1776240630.471,30.471,0.27,0.28,0.72,0.73,0.01,0.01,73739.89,1776240629000
1776240630.957,30.957,0.35,0.37,0.64,0.66,0.02,0.02,73739.89,1776240629000
1776240631.312,31.312,0.36,0.37,0.62,0.64,0.01,0.02,73739.89,1776240629000
1776240631.712,31.712,0.39,0.4,0.6,0.63,0.01,0.03,73737.68,1776240630000
1776240632.071,32.071,0.4,0.43,0.58,0.6,0.03,0.02,73737.68,1776240630000
1776240632.464,32.464,0.41,0.42,0.58,0.59,0.01,0.01,73741.29,1776240631000
1776240632.817,32.817,0.41,0.42,0.58,0.59,0.01,0.01,73741.29,1776240631000
1776240633.214,33.214,0.41,0.42,0.58,0.59,0.01,0.01,73741.29,1776240631000
1776240633.646,33.646,0.4,0.41,0.58,0.6,0.01,0.02,73752.93,1776240632000
1776240634.088,34.088,0.38,0.4,0.6,0.62,0.02,0.02,73752.93,1776240632000
1776240634.519,34.519,0.38,0.39,0.61,0.62,0.01,0.01,73757.86,1776240633000
1776240635.004,35.004,0.38,0.39,0.61,0.62,0.01,0.01,73757.86,1776240633000
1776240635.354,35.354,0.38,0.39,0.61,0.62,0.01,0.01,73757.16,1776240634000
1776240635.742,35.742,0.38,0.39,0.61,0.62,0.01,0.01,73757.16,1776240634000
1776240636.098,36.098,0.38,0.39,0.61,0.62,0.01,0.01,73757.16,1776240634000
1776240636.463,36.463,0.39,0.4,0.6,0.61,0.01,0.01,73754.52,1776240635000
1776240636.975,36.975,0.39,0.4,0.6,0.61,0.01,0.01,73754.52,1776240635000
1776240637.318,37.318,0.39,0.4,0.6,0.61,0.01,0.01,73754.44,1776240636000
1776240637.682,37.682,0.39,0.4,0.6,0.61,0.01,0.01,73754.44,1776240636000
1776240638.108,38.108,0.39,0.4,0.6,0.61,0.01,0.01,73754.44,1776240636000
1776240638.452,38.452,0.39,0.4,0.6,0.61,0.01,0.01,73755.51,1776240637000
1776240638.865,38.865,0.4,0.41,0.59,0.61,0.01,0.02,73755.51,1776240637000
1776240639.337,39.337,0.4,0.41,0.59,0.6,0.01,0.01,73755.51,1776240637000
1776240639.747,39.747,0.4,0.41,0.59,0.6,0.01,0.01,73755.51,1776240637000
1776240640.197,40.197,0.4,0.41,0.59,0.6,0.01,0.01,73755.38,1776240638000
1776240640.702,40.702,0.4,0.41,0.59,0.6,0.01,0.01,73755.65,1776240639000
1776240641.214,41.214,0.4,0.41,0.59,0.6,0.01,0.01,73755.65,1776240639000
1776240641.608,41.608,0.4,0.41,0.59,0.6,0.01,0.01,73755.79,1776240640000
1776240642.12,42.12,0.4,0.41,0.59,0.6,0.01,0.01,73755.75,1776240641000
1776240642.675,42.675,0.4,0.41,0.59,0.6,0.01,0.01,73755.75,1776240641000
1776240643.187,43.187,0.41,0.42,0.59,0.6,0.01,0.01,73755.75,1776240641000
1776240643.53,43.53,0.41,0.42,0.58,0.59,0.01,0.01,73755.75,1776240641000
1776240643.919,43.919,0.41,0.42,0.58,0.59,0.01,0.01,73755.71,1776240642000
1776240644.559,44.559,0.41,0.42,0.58,0.59,0.01,0.01,73755.71,1776240642000
1776240645.055,45.055,0.41,0.42,0.58,0.59,0.01,0.01,73756.29,1776240643000
1776240645.537,45.537,0.41,0.42,0.58,0.59,0.01,0.01,73756.6,1776240644000
1776240645.95,45.95,0.41,0.42,0.58,0.59,0.01,0.01,73756.6,1776240644000
1776240646.819,46.819,0.41,0.42,0.58,0.59,0.01,0.01,73756.62,1776240645000
1776240647.189,47.189,0.41,0.42,0.58,0.59,0.01,0.01,73756.62,1776240645000
1776240647.588,47.588,0.41,0.42,0.58,0.59,0.01,0.01,73756.02,1776240646000
1776240648.165,48.165,0.41,0.42,0.58,0.59,0.01,0.01,73756.02,1776240646000
1776240648.772,48.772,0.43,0.44,0.56,0.58,0.01,0.02,73755.96,1776240647000
1776240649.271,49.271,0.43,0.44,0.56,0.57,0.01,0.01,73755.96,1776240647000
1776240649.686,49.686,0.43,0.44,0.56,0.57,0.01,0.01,73756.16,1776240648000
1776240650.071,50.071,0.43,0.44,0.56,0.57,0.01,0.01,73756.16,1776240648000
1776240650.714,50.714,0.43,0.44,0.56,0.57,0.01,0.01,73756.16,1776240649000
1776240651.091,51.091,0.44,0.45,0.55,0.56,0.01,0.01,73756.16,1776240649000
1776240651.425,51.425,0.44,0.45,0.55,0.56,0.01,0.01,73757.66,1776240650000
1776240651.796,51.796,0.44,0.45,0.55,0.56,0.01,0.01,73757.66,1776240650000
1776240652.612,52.612,0.44,0.45,0.55,0.56,0.01,0.01,73757.66,1776240650000
1776240653.078,53.078,0.48,0.49,0.51,0.52,0.01,0.01,73758.58,1776240651000
1776240653.425,53.425,0.48,0.49,0.51,0.52,0.01,0.01,73758.58,1776240651000
1776240653.956,53.956,0.48,0.49,0.51,0.52,0.01,0.01,73758.58,1776240652000
1776240654.608,54.608,0.48,0.49,0.51,0.52,0.01,0.01,73758.95,1776240653000
1776240654.962,54.962,0.48,0.49,0.51,0.52,0.01,0.01,73758.95,1776240653000
1776240655.617,55.617,0.48,0.49,0.51,0.52,0.01,0.01,73763.99,1776240654000
1776240655.955,55.955,0.48,0.49,0.51,0.52,0.01,0.01,73763.99,1776240654000
1776240656.491,56.491,0.48,0.49,0.51,0.52,0.01,0.01,73763.99,1776240655000
1776240657.577,57.577,0.48,0.49,0.51,0.52,0.01,0.01,73764.01,1776240656000
1776240658.069,58.069,0.48,0.49,0.51,0.52,0.01,0.01,73764.01,1776240657000
1776240658.787,58.787,0.48,0.49,0.51,0.52,0.01,0.01,73764.01,1776240657000
1776240659.218,59.218,0.48,0.49,0.51,0.52,0.01,0.01,73764.63,1776240658000
1776240659.653,59.653,0.48,0.49,0.51,0.52,0.01,0.01,73764.63,1776240658000
1776240660.244,60.244,0.48,0.49,0.51,0.52,0.01,0.01,73764.63,1776240658000
1776240660.752,60.752,0.48,0.49,0.51,0.52,0.01,0.01,73764.78,1776240659000
1776240661.389,61.389,0.48,0.49,0.51,0.52,0.01,0.01,73764.78,1776240660000
1776240661.766,61.766,0.48,0.49,0.51,0.52,0.01,0.01,73764.78,1776240660000
1776240662.174,62.174,0.48,0.49,0.51,0.52,0.01,0.01,73764.41,1776240661000
1776240662.917,62.917,0.48,0.49,0.51,0.52,0.01,0.01,73764.41,1776240661000
1776240663.31,63.31,0.48,0.49,0.51,0.52,0.01,0.01,73764.41,1776240661000
1776240663.695,63.695,0.48,0.49,0.51,0.52,0.01,0.01,73764.41,1776240662000
1776240664.143,64.143,0.48,0.49,0.51,0.52,0.01,0.01,73764.41,1776240663000
1776240664.733,64.733,0.49,0.5,0.51,0.52,0.01,0.01,73764.41,1776240663000
1776240665.128,65.128,0.49,0.5,0.5,0.51,0.01,0.01,73764.41,1776240663000
1776240665.559,65.559,0.49,0.5,0.5,0.51,0.01,0.01,73764.66,1776240664000
1776240665.986,65.986,0.5,0.51,0.49,0.51,0.01,0.02,73764.66,1776240664000
1776240666.32,66.32,0.5,0.51,0.49,0.5,0.01,0.01,73764.66,1776240664000
1776240666.926,66.926,0.5,0.51,0.49,0.5,0.01,0.01,73764.28,1776240665000
1776240667.379,67.379,0.5,0.51,0.49,0.5,0.01,0.01,73764.28,1776240665000
1776240667.786,67.786,0.5,0.51,0.49,0.5,0.01,0.01,73765.29,1776240666000
1776240668.121,68.121,0.5,0.51,0.49,0.5,0.01,0.01,73765.29,1776240667000
1776240668.47,68.47,0.5,0.51,0.49,0.5,0.01,0.01,73765.29,1776240667000
1776240668.842,68.842,0.45,0.48,0.52,0.53,0.03,0.01,73765.29,1776240667000
1776240669.186,69.186,0.46,0.47,0.53,0.54,0.01,0.01,73764.0,1776240668000
1776240669.555,69.555,0.45,0.46,0.54,0.55,0.01,0.01,73764.0,1776240668000
1776240669.922,69.922,0.45,0.46,0.54,0.55,0.01,0.01,73764.0,1776240668000
1776240670.391,70.391,0.45,0.46,0.54,0.55,0.01,0.01,73764.06,1776240669000
1776240670.733,70.733,0.45,0.46,0.54,0.55,0.01,0.01,73764.06,1776240669000
1776240671.171,71.171,0.47,0.48,0.52,0.55,0.01,0.03,73764.06,1776240669000
1776240671.97,71.97,0.47,0.48,0.52,0.53,0.01,0.01,73762.74,1776240670000
1776240672.323,72.323,0.53,0.55,0.45,0.47,0.02,0.02,73761.44,1776240671000
1776240672.659,72.659,0.54,0.55,0.45,0.46,0.01,0.01,73761.44,1776240671000
