timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776429000.504,0.504,0.48,0.49,0.51,0.52,0.01,0.01,75790.52,1776428998000
1776429000.939,0.939,0.48,0.49,0.51,0.52,0.01,0.01,75790.51,1776428999000
1776429001.326,1.326,0.51,0.52,0.47,0.5,0.01,0.03,75790.51,1776428999000
1776429001.676,1.676,0.51,0.52,0.48,0.49,0.01,0.01,75791.18,1776429000000
1776429002.082,2.082,0.53,0.54,0.46,0.47,0.01,0.01,75791.18,1776429000000
1776429002.485,2.485,0.53,0.54,0.46,0.47,0.01,0.01,75791.18,1776429000000
1776429002.988,2.988,0.53,0.55,0.45,0.47,0.02,0.02,75797.74,1776429001000
1776429003.582,3.582,0.54,0.55,0.45,0.46,0.01,0.01,75797.74,1776429001000
1776429003.946,3.946,0.54,0.55,0.45,0.46,0.01,0.01,75806.42,1776429002000
1776429004.35,4.35,0.54,0.55,0.45,0.46,0.01,0.01,75807.47,1776429003000
1776429004.757,4.757,0.54,0.55,0.45,0.46,0.01,0.01,75807.47,1776429003000
1776429005.109,5.109,0.5,0.51,0.49,0.51,0.01,0.02,75807.47,1776429003000
1776429005.465,5.465,0.5,0.51,0.49,0.5,0.01,0.01,75807.47,1776429004000
1776429005.894,5.894,0.5,0.51,0.49,0.5,0.01,0.01,75807.47,1776429004000
1776429006.238,6.238,0.5,0.51,0.49,0.5,0.01,0.01,75807.47,1776429004000
1776429006.639,6.639,0.5,0.51,0.49,0.5,0.01,0.01,75807.34,1776429005000
1776429006.983,6.983,0.51,0.54,0.46,0.49,0.03,0.03,75807.34,1776429005000
1776429007.318,7.318,0.53,0.54,0.46,0.47,0.01,0.01,75802.22,1776429006000
1776429007.714,7.714,0.53,0.54,0.46,0.47,0.01,0.01,75802.22,1776429006000
1776429008.278,8.278,0.53,0.54,0.46,0.47,0.01,0.01,75802.22,1776429006000
1776429008.781,8.781,0.53,0.54,0.46,0.47,0.01,0.01,75801.5,1776429007000
1776429009.138,9.138,0.53,0.54,0.46,0.47,0.01,0.01,75801.5,1776429007000
1776429009.471,9.471,0.53,0.54,0.46,0.47,0.01,0.01,75801.5,1776429007000
1776429009.817,9.817,0.55,0.56,0.44,0.45,0.01,0.01,75805.78,1776429008000
1776429010.182,10.182,0.55,0.56,0.44,0.45,0.01,0.01,75805.78,1776429008000
1776429010.611,10.611,0.57,0.58,0.42,0.43,0.01,0.01,75808.09,1776429009000
1776429010.967,10.967,0.57,0.58,0.42,0.43,0.01,0.01,75808.09,1776429009000
1776429011.35,11.35,0.58,0.59,0.41,0.42,0.01,0.01,75808.09,1776429009000
1776429011.754,11.754,0.58,0.59,0.41,0.42,0.01,0.01,75815.01,1776429010000
1776429012.119,12.119,0.58,0.59,0.41,0.42,0.01,0.01,75815.01,1776429010000
1776429012.465,12.465,0.58,0.59,0.41,0.42,0.01,0.01,75817.41,1776429011000
1776429012.802,12.802,0.57,0.59,0.41,0.43,0.02,0.02,75817.41,1776429011000
1776429013.17,13.17,0.55,0.56,0.44,0.45,0.01,0.01,75817.41,1776429011000
1776429013.526,13.526,0.54,0.55,0.44,0.46,0.01,0.02,75819.0,1776429012000
1776429013.896,13.896,0.54,0.55,0.45,0.46,0.01,0.01,75819.0,1776429012000
1776429014.285,14.285,0.54,0.55,0.45,0.46,0.01,0.01,75819.0,1776429012000
1776429014.698,14.698,0.54,0.55,0.45,0.46,0.01,0.01,75815.44,1776429013000
1776429015.276,15.276,0.54,0.55,0.45,0.46,0.01,0.01,75815.44,1776429013000
1776429015.653,15.653,0.54,0.55,0.45,0.46,0.01,0.01,75806.18,1776429014000
1776429015.989,15.989,0.54,0.55,0.45,0.46,0.01,0.01,75806.18,1776429014000
1776429016.509,16.509,0.55,0.56,0.44,0.45,0.01,0.01,75806.18,1776429014000
1776429016.954,16.954,0.56,0.57,0.43,0.45,0.01,0.02,75798.52,1776429015000
1776429017.402,17.402,0.58,0.59,0.41,0.43,0.01,0.02,75798.52,1776429015000
1776429017.741,17.741,0.58,0.59,0.41,0.42,0.01,0.01,75802.95,1776429016000
1776429018.125,18.125,0.58,0.59,0.41,0.42,0.01,0.01,75802.95,1776429016000
1776429018.488,18.488,0.58,0.59,0.41,0.42,0.01,0.01,75813.51,1776429017000
1776429018.865,18.865,0.57,0.59,0.41,0.42,0.02,0.01,75813.51,1776429017000
1776429019.221,19.221,0.57,0.58,0.42,0.43,0.01,0.01,75813.51,1776429017000
1776429019.624,19.624,0.56,0.58,0.42,0.43,0.02,0.01,75813.51,1776429017000
1776429020.107,20.107,0.56,0.57,0.43,0.44,0.01,0.01,75818.62,1776429018000
1776429020.496,20.496,0.56,0.57,0.43,0.44,0.01,0.01,75818.87,1776429019000
1776429020.841,20.841,0.56,0.57,0.43,0.44,0.01,0.01,75818.87,1776429019000
1776429021.226,21.226,0.56,0.58,0.43,0.44,0.02,0.01,75817.47,1776429020000
1776429021.599,21.599,0.57,0.58,0.42,0.43,0.01,0.01,75817.47,1776429020000
1776429021.942,21.942,0.58,0.59,0.41,0.42,0.01,0.01,75817.47,1776429020000
1776429022.289,22.289,0.58,0.59,0.41,0.42,0.01,0.01,75817.47,1776429020000
1776429022.646,22.646,0.58,0.59,0.41,0.42,0.01,0.01,75813.23,1776429021000
1776429023.226,23.226,0.58,0.6,0.41,0.42,0.02,0.01,75813.23,1776429021000
1776429023.56,23.56,0.59,0.6,0.4,0.41,0.01,0.01,75817.0,1776429022000
1776429023.963,23.963,0.59,0.6,0.4,0.41,0.01,0.01,75817.0,1776429022000
1776429024.343,24.343,0.59,0.6,0.4,0.41,0.01,0.01,75817.0,1776429022000
1776429024.895,24.895,0.6,0.61,0.39,0.41,0.01,0.02,75819.06,1776429023000
1776429025.257,25.257,0.6,0.61,0.39,0.4,0.01,0.01,75819.06,1776429023000
1776429025.626,25.626,0.62,0.64,0.36,0.38,0.02,0.02,75819.15,1776429024000
1776429025.991,25.991,0.64,0.65,0.35,0.36,0.01,0.01,75819.15,1776429024000
1776429026.356,26.356,0.64,0.65,0.35,0.36,0.01,0.01,75825.97,1776429025000
1776429026.696,26.696,0.64,0.65,0.35,0.36,0.01,0.01,75825.97,1776429025000
1776429027.037,27.037,0.64,0.65,0.35,0.36,0.01,0.01,75825.97,1776429025000
1776429027.382,27.382,0.64,0.66,0.34,0.36,0.02,0.02,75825.97,1776429025000
1776429027.786,27.786,0.66,0.67,0.33,0.34,0.01,0.01,75846.56,1776429026000
1776429028.189,28.189,0.66,0.67,0.33,0.34,0.01,0.01,75846.56,1776429026000
1776429028.543,28.543,0.66,0.67,0.33,0.34,0.01,0.01,75846.56,1776429026000
1776429028.936,28.936,0.66,0.68,0.33,0.34,0.02,0.01,75849.32,1776429027000
1776429029.301,29.301,0.67,0.68,0.32,0.33,0.01,0.01,75851.07,1776429028000
