timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1777109700.567,0.567,0.52,0.53,0.47,0.48,0.01,0.01,77623.91,1777109699000
1777109700.904,0.904,0.52,0.53,0.47,0.48,0.01,0.01,77623.99,1777109700000
1777109701.524,1.524,0.52,0.53,0.47,0.48,0.01,0.01,77623.99,1777109700000
1777109701.944,1.944,0.52,0.53,0.47,0.48,0.01,0.01,77623.99,1777109700000
1777109702.51,2.51,0.52,0.53,0.47,0.48,0.01,0.01,77623.99,1777109700000
1777109702.844,2.844,0.52,0.53,0.47,0.48,0.01,0.01,77625.76,1777109701000
1777109703.201,3.201,0.52,0.53,0.47,0.48,0.01,0.01,77625.76,1777109701000
1777109704.087,4.087,0.52,0.53,0.47,0.48,0.01,0.01,77625.5,1777109702000
1777109704.905,4.905,0.52,0.53,0.47,0.48,0.01,0.01,77625.76,1777109703000
1777109705.543,5.543,0.52,0.53,0.47,0.48,0.01,0.01,77625.76,1777109703000
1777109706.255,6.255,0.52,0.53,0.47,0.48,0.01,0.01,77625.92,1777109705000
1777109706.589,6.589,0.53,0.54,0.47,0.48,0.01,0.01,77625.92,1777109705000
1777109707.422,7.422,0.53,0.54,0.46,0.47,0.01,0.01,77625.92,1777109705000
1777109708.306,8.306,0.53,0.54,0.46,0.47,0.01,0.01,77625.97,1777109706000
1777109708.824,8.824,0.53,0.54,0.46,0.47,0.01,0.01,77625.97,1777109707000
1777109709.429,9.429,0.53,0.55,0.46,0.47,0.02,0.01,77625.97,1777109707000
1777109709.878,9.878,0.53,0.55,0.45,0.47,0.02,0.02,77625.62,1777109708000
1777109710.424,10.424,0.54,0.55,0.45,0.46,0.01,0.01,77625.62,1777109708000
1777109711.012,11.012,0.54,0.55,0.45,0.46,0.01,0.01,77624.55,1777109709000
1777109711.462,11.462,0.54,0.55,0.45,0.46,0.01,0.01,77625.3,1777109710000
1777109712.323,12.323,0.54,0.55,0.45,0.46,0.01,0.01,77625.3,1777109710000
1777109713.015,13.015,0.54,0.55,0.45,0.46,0.01,0.01,77626.09,1777109711000
1777109713.873,13.873,0.54,0.55,0.45,0.46,0.01,0.01,77626.1,1777109712000
1777109714.226,14.226,0.54,0.55,0.45,0.46,0.01,0.01,77626.1,1777109712000
1777109714.668,14.668,0.54,0.55,0.45,0.46,0.01,0.01,77626.1,1777109713000
1777109715.158,15.158,0.53,0.55,0.45,0.46,0.02,0.01,77626.1,1777109713000
