timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776320700.519,0.519,0.48,0.51,0.52,0.53,0.03,0.01,75055.83,1776320699000
1776320700.86,0.86,0.45,0.46,0.52,0.55,0.01,0.03,75055.83,1776320699000
1776320701.246,1.246,0.44,0.45,0.55,0.56,0.01,0.01,75054.45,1776320700000
1776320701.818,1.818,0.44,0.45,0.55,0.56,0.01,0.01,75054.45,1776320700000
1776320702.23,2.23,0.44,0.45,0.55,0.56,0.01,0.01,75054.45,1776320701000
1776320702.588,2.588,0.41,0.45,0.55,0.59,0.04,0.04,75054.45,1776320701000
1776320702.947,2.947,0.39,0.4,0.6,0.61,0.01,0.01,75054.45,1776320701000
1776320703.32,3.32,0.39,0.44,0.56,0.61,0.05,0.05,75054.45,1776320701000
1776320703.653,3.653,0.39,0.4,0.6,0.61,0.01,0.01,75049.15,1776320702000
1776320703.994,3.994,0.39,0.4,0.6,0.61,0.01,0.01,75049.15,1776320702000
1776320704.336,4.336,0.39,0.4,0.6,0.61,0.01,0.01,75042.99,1776320703000
1776320704.863,4.863,0.39,0.4,0.6,0.61,0.01,0.01,75042.99,1776320703000
1776320705.217,5.217,0.39,0.4,0.6,0.61,0.01,0.01,75042.99,1776320703000
1776320705.561,5.561,0.39,0.4,0.6,0.61,0.01,0.01,75039.78,1776320704000
1776320706.241,6.241,0.39,0.4,0.6,0.61,0.01,0.01,75040.75,1776320705000
1776320706.718,6.718,0.39,0.4,0.6,0.61,0.01,0.01,75040.75,1776320705000
1776320707.085,7.085,0.39,0.4,0.6,0.61,0.01,0.01,75040.75,1776320705000
1776320707.521,7.521,0.39,0.4,0.6,0.61,0.01,0.01,75038.34,1776320706000
1776320707.9,7.9,0.39,0.4,0.6,0.61,0.01,0.01,75038.34,1776320706000
1776320708.242,8.242,0.39,0.4,0.6,0.61,0.01,0.01,75038.57,1776320707000
1776320708.782,8.782,0.39,0.42,0.6,0.61,0.03,0.01,75038.57,1776320707000
1776320709.252,9.252,0.41,0.42,0.58,0.59,0.01,0.01,75038.57,1776320708000
1776320709.619,9.619,0.45,0.46,0.54,0.56,0.01,0.02,75038.57,1776320708000
1776320710.113,10.113,0.45,0.46,0.54,0.55,0.01,0.01,75038.57,1776320708000
1776320710.447,10.447,0.46,0.47,0.53,0.54,0.01,0.01,75038.61,1776320709000
1776320710.897,10.897,0.46,0.49,0.53,0.54,0.03,0.01,75038.61,1776320709000
1776320711.258,11.258,0.47,0.48,0.52,0.53,0.01,0.01,75040.4,1776320710000
1776320711.604,11.604,0.47,0.48,0.52,0.53,0.01,0.01,75040.4,1776320710000
1776320711.987,11.987,0.47,0.48,0.52,0.53,0.01,0.01,75040.4,1776320710000
1776320712.328,12.328,0.45,0.46,0.52,0.55,0.01,0.03,75044.57,1776320711000
1776320712.72,12.72,0.44,0.45,0.55,0.56,0.01,0.01,75044.57,1776320711000
1776320713.081,13.081,0.44,0.45,0.55,0.56,0.01,0.01,75044.57,1776320711000
1776320713.439,13.439,0.44,0.45,0.54,0.56,0.01,0.02,75044.6,1776320712000
1776320713.794,13.794,0.44,0.45,0.55,0.56,0.01,0.01,75044.6,1776320712000
1776320714.199,14.199,0.44,0.45,0.55,0.56,0.01,0.01,75044.6,1776320712000
1776320714.537,14.537,0.45,0.46,0.55,0.56,0.01,0.01,75044.0,1776320713000
1776320714.873,14.873,0.45,0.46,0.54,0.55,0.01,0.01,75044.0,1776320713000
1776320715.263,15.263,0.45,0.46,0.54,0.55,0.01,0.01,75044.03,1776320714000
1776320715.612,15.612,0.45,0.46,0.54,0.55,0.01,0.01,75044.03,1776320714000
1776320716.007,16.007,0.45,0.46,0.52,0.55,0.01,0.03,75044.03,1776320714000
1776320716.471,16.471,0.46,0.47,0.53,0.54,0.01,0.01,75044.09,1776320715000
1776320716.936,16.936,0.46,0.47,0.53,0.54,0.01,0.01,75044.09,1776320715000
1776320717.361,17.361,0.46,0.47,0.53,0.54,0.01,0.01,75044.09,1776320716000
1776320717.999,17.999,0.46,0.47,0.53,0.54,0.01,0.01,75044.09,1776320716000
1776320718.391,18.391,0.46,0.47,0.53,0.54,0.01,0.01,75044.09,1776320717000
1776320718.785,18.785,0.46,0.47,0.53,0.54,0.01,0.01,75044.09,1776320717000
1776320719.222,19.222,0.46,0.47,0.53,0.54,0.01,0.01,75044.08,1776320718000
1776320719.653,19.653,0.47,0.48,0.52,0.53,0.01,0.01,75044.08,1776320718000
1776320719.999,19.999,0.47,0.48,0.52,0.53,0.01,0.01,75044.08,1776320718000
1776320720.415,20.415,0.47,0.48,0.52,0.53,0.01,0.01,75044.09,1776320719000
1776320721.022,21.022,0.43,0.44,0.53,0.58,0.01,0.05,75044.09,1776320719000
1776320721.657,21.657,0.42,0.43,0.56,0.57,0.01,0.01,75044.14,1776320720000
1776320721.991,21.991,0.38,0.42,0.58,0.62,0.04,0.04,75044.14,1776320720000
1776320722.499,22.499,0.38,0.42,0.58,0.62,0.04,0.04,75045.5,1776320721000
1776320722.878,22.878,0.38,0.42,0.58,0.62,0.04,0.04,75045.5,1776320721000
1776320723.249,23.249,0.39,0.41,0.6,0.61,0.02,0.01,75043.22,1776320722000
1776320723.602,23.602,0.39,0.4,0.59,0.61,0.01,0.02,75043.22,1776320722000
1776320724.023,24.023,0.35,0.38,0.62,0.67,0.03,0.05,75043.22,1776320722000
1776320724.357,24.357,0.35,0.39,0.61,0.63,0.04,0.02,75037.89,1776320723000
1776320724.733,24.733,0.37,0.38,0.62,0.63,0.01,0.01,75037.89,1776320723000
1776320725.09,25.09,0.37,0.38,0.62,0.63,0.01,0.01,75037.89,1776320723000
1776320725.457,25.457,0.37,0.38,0.62,0.63,0.01,0.01,75031.09,1776320724000
1776320725.889,25.889,0.37,0.38,0.62,0.63,0.01,0.01,75031.09,1776320724000
1776320726.271,26.271,0.37,0.38,0.62,0.63,0.01,0.01,75030.8,1776320725000
1776320726.733,26.733,0.37,0.38,0.62,0.63,0.01,0.01,75030.8,1776320725000
1776320727.148,27.148,0.37,0.38,0.62,0.63,0.01,0.01,75031.49,1776320726000
1776320727.688,27.688,0.37,0.38,0.62,0.63,0.01,0.01,75031.49,1776320726000
1776320728.036,28.036,0.37,0.38,0.62,0.63,0.01,0.01,75031.49,1776320726000
1776320728.49,28.49,0.37,0.38,0.62,0.63,0.01,0.01,75035.22,1776320727000
1776320729.026,29.026,0.37,0.38,0.62,0.63,0.01,0.01,75035.22,1776320727000
1776320729.543,29.543,0.37,0.39,0.61,0.63,0.02,0.02,75035.22,1776320728000
1776320729.88,29.88,0.37,0.39,0.61,0.63,0.02,0.02,75035.22,1776320728000
1776320730.232,30.232,0.38,0.39,0.61,0.62,0.01,0.01,75035.68,1776320729000
1776320730.704,30.704,0.38,0.39,0.61,0.62,0.01,0.01,75035.68,1776320729000
1776320731.094,31.094,0.38,0.41,0.59,0.62,0.03,0.03,75036.5,1776320730000
1776320731.612,31.612,0.4,0.42,0.59,0.6,0.02,0.01,75036.5,1776320730000
1776320732.106,32.106,0.41,0.44,0.58,0.6,0.03,0.02,75036.5,1776320730000
1776320732.45,32.45,0.41,0.44,0.56,0.59,0.03,0.03,75038.55,1776320731000
1776320732.784,32.784,0.45,0.48,0.52,0.55,0.03,0.03,75038.55,1776320731000
1776320733.218,33.218,0.49,0.5,0.52,0.54,0.01,0.02,75038.55,1776320731000
1776320733.844,33.844,0.48,0.49,0.5,0.52,0.01,0.02,75044.69,1776320732000
1776320734.197,34.197,0.49,0.5,0.48,0.51,0.01,0.03,75044.69,1776320732000
1776320734.536,34.536,0.49,0.5,0.5,0.51,0.01,0.01,75050.96,1776320733000
1776320735.009,35.009,0.49,0.5,0.5,0.51,0.01,0.01,75052.35,1776320734000
1776320735.347,35.347,0.49,0.5,0.5,0.51,0.01,0.01,75052.35,1776320734000
1776320735.703,35.703,0.51,0.52,0.48,0.49,0.01,0.01,75052.35,1776320734000
1776320736.075,36.075,0.51,0.52,0.48,0.49,0.01,0.01,75052.43,1776320735000
1776320736.957,36.957,0.51,0.52,0.48,0.49,0.01,0.01,75052.43,1776320735000
1776320737.853,37.853,0.51,0.53,0.48,0.49,0.02,0.01,75054.4,1776320736000
1776320738.237,38.237,0.52,0.53,0.47,0.49,0.01,0.02,75052.43,1776320737000
1776320738.744,38.744,0.52,0.53,0.47,0.48,0.01,0.01,75052.43,1776320737000
1776320739.192,39.192,0.52,0.53,0.47,0.48,0.01,0.01,75052.43,1776320738000
1776320740.007,40.007,0.52,0.53,0.47,0.48,0.01,0.01,75052.43,1776320738000
1776320740.414,40.414,0.52,0.53,0.47,0.48,0.01,0.01,75052.38,1776320739000
1776320740.771,40.771,0.52,0.53,0.47,0.48,0.01,0.01,75052.38,1776320739000
1776320741.106,41.106,0.52,0.53,0.47,0.48,0.01,0.01,75052.38,1776320739000
1776320741.481,41.481,0.52,0.53,0.47,0.48,0.01,0.01,75052.45,1776320740000
1776320742.1,42.1,0.52,0.53,0.47,0.48,0.01,0.01,75052.4,1776320741000
1776320742.469,42.469,0.52,0.53,0.47,0.48,0.01,0.01,75052.4,1776320741000
1776320742.837,42.837,0.52,0.53,0.47,0.48,0.01,0.01,75052.4,1776320741000
1776320743.28,43.28,0.52,0.53,0.47,0.48,0.01,0.01,75052.43,1776320742000
1776320743.639,43.639,0.52,0.53,0.47,0.48,0.01,0.01,75052.43,1776320742000
1776320743.979,43.979,0.49,0.51,0.49,0.5,0.02,0.01,75052.37,1776320743000
1776320744.548,44.548,0.45,0.48,0.51,0.56,0.03,0.05,75052.37,1776320743000
1776320744.887,44.887,0.45,0.46,0.54,0.55,0.01,0.01,75052.37,1776320743000
1776320745.394,45.394,0.45,0.46,0.54,0.55,0.01,0.01,75052.43,1776320744000
1776320745.729,45.729,0.45,0.46,0.54,0.55,0.01,0.01,75052.43,1776320744000
1776320746.082,46.082,0.45,0.46,0.54,0.55,0.01,0.01,75048.92,1776320745000
1776320746.732,46.732,0.45,0.46,0.54,0.55,0.01,0.01,75048.92,1776320745000
1776320747.143,47.143,0.45,0.46,0.54,0.55,0.01,0.01,75046.93,1776320746000
1776320747.81,47.81,0.45,0.46,0.54,0.55,0.01,0.01,75046.93,1776320746000
1776320748.208,48.208,0.45,0.46,0.54,0.55,0.01,0.01,75046.31,1776320747000
1776320748.869,48.869,0.45,0.46,0.54,0.55,0.01,0.01,75046.31,1776320747000
1776320749.511,49.511,0.45,0.46,0.54,0.55,0.01,0.01,75047.49,1776320748000
1776320750.175,50.175,0.45,0.46,0.54,0.55,0.01,0.01,75047.49,1776320748000
1776320750.611,50.611,0.45,0.46,0.54,0.55,0.01,0.01,75047.46,1776320749000
1776320750.969,50.969,0.45,0.46,0.54,0.55,0.01,0.01,75047.46,1776320749000
