timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price
1775850900.519,0.519,0.47,0.48,0.51,0.52,0.01,0.01,73131.65
1775850900.914,0.914,0.45,0.49,0.51,0.52,0.04,0.01,73131.65
1775850901.431,1.431,0.45,0.46,0.54,0.55,0.01,0.01,73129.86
1775850901.774,1.774,0.45,0.46,0.54,0.55,0.01,0.01,73129.86
1775850902.116,2.116,0.5,0.51,0.49,0.5,0.01,0.01,73129.86
1775850902.521,2.521,0.5,0.51,0.49,0.5,0.01,0.01,73128.11
1775850902.883,2.883,0.5,0.51,0.49,0.5,0.01,0.01,73128.11
1775850903.269,3.269,0.5,0.52,0.48,0.5,0.02,0.02,73128.11
1775850903.63,3.63,0.51,0.52,0.48,0.49,0.01,0.01,73127.47
1775850903.993,3.993,0.51,0.52,0.48,0.49,0.01,0.01,73127.47
1775850904.371,4.371,0.51,0.52,0.48,0.49,0.01,0.01,73127.47
1775850904.714,4.714,0.51,0.52,0.48,0.49,0.01,0.01,73127.47
1775850905.158,5.158,0.51,0.52,0.48,0.49,0.01,0.01,73134.46
1775850905.541,5.541,0.51,0.52,0.48,0.49,0.01,0.01,73137.89
1775850905.91,5.91,0.51,0.53,0.48,0.49,0.02,0.01,73137.89
1775850906.269,6.269,0.53,0.54,0.46,0.47,0.01,0.01,73142.13
1775850906.901,6.901,0.53,0.54,0.46,0.47,0.01,0.01,73142.13
1775850907.266,7.266,0.53,0.54,0.46,0.47,0.01,0.01,73143.4
1775850907.61,7.61,0.53,0.54,0.46,0.47,0.01,0.01,73143.4
1775850907.948,7.948,0.5,0.52,0.48,0.5,0.02,0.02,73143.4
1775850908.384,8.384,0.48,0.49,0.51,0.52,0.01,0.01,73141.86
1775850908.783,8.783,0.48,0.49,0.51,0.52,0.01,0.01,73141.86
1775850909.128,9.128,0.48,0.49,0.51,0.52,0.01,0.01,73141.86
1775850909.555,9.555,0.48,0.49,0.51,0.52,0.01,0.01,73140.48
1775850909.898,9.898,0.48,0.49,0.51,0.52,0.01,0.01,73140.48
1775850910.259,10.259,0.48,0.49,0.51,0.52,0.01,0.01,73134.12
1775850910.695,10.695,0.48,0.49,0.51,0.52,0.01,0.01,73134.12
1775850911.046,11.046,0.48,0.49,0.51,0.52,0.01,0.01,73134.12
1775850911.575,11.575,0.48,0.49,0.51,0.52,0.01,0.01,73133.54
1775850912.069,12.069,0.48,0.49,0.51,0.52,0.01,0.01,73133.54
1775850912.602,12.602,0.48,0.49,0.51,0.52,0.01,0.01,73133.61
1775850913.443,13.443,0.48,0.49,0.51,0.52,0.01,0.01,73133.58
1775850913.842,13.842,0.48,0.49,0.51,0.52,0.01,0.01,73133.58
1775850914.241,14.241,0.48,0.49,0.51,0.52,0.01,0.01,73133.58
1775850914.674,14.674,0.48,0.49,0.51,0.52,0.01,0.01,73133.74
1775850915.165,15.165,0.48,0.49,0.51,0.52,0.01,0.01,73133.74
1775850915.595,15.595,0.48,0.49,0.51,0.52,0.01,0.01,73132.39
1775850916.069,16.069,0.48,0.49,0.51,0.52,0.01,0.01,73132.39
1775850916.407,16.407,0.5,0.51,0.49,0.5,0.01,0.01,73132.39
1775850916.816,16.816,0.51,0.52,0.48,0.49,0.01,0.01,73132.39
1775850917.213,17.213,0.51,0.52,0.48,0.49,0.01,0.01,73132.36
1775850917.678,17.678,0.52,0.53,0.47,0.49,0.01,0.02,73132.36
1775850918.02,18.02,0.53,0.54,0.46,0.47,0.01,0.01,73134.57
1775850918.415,18.415,0.53,0.54,0.46,0.47,0.01,0.01,73134.57
1775850918.783,18.783,0.53,0.54,0.46,0.47,0.01,0.01,73134.57
1775850919.118,19.118,0.53,0.54,0.46,0.47,0.01,0.01,73134.57
1775850919.456,19.456,0.53,0.55,0.46,0.47,0.02,0.01,73139.62
1775850919.829,19.829,0.54,0.55,0.45,0.46,0.01,0.01,73139.62
1775850920.363,20.363,0.54,0.55,0.45,0.46,0.01,0.01,73139.62
