timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price
1775806200.523,0.523,0.57,0.6,0.43,0.44,0.03,0.01,71728.99
1775806200.949,0.949,0.6,0.62,0.38,0.4,0.02,0.02,71728.99
1775806201.332,1.332,0.6,0.61,0.38,0.4,0.01,0.02,71729.0
1775806201.682,1.682,0.6,0.61,0.39,0.4,0.01,0.01,71729.0
1775806202.098,2.098,0.6,0.61,0.39,0.4,0.01,0.01,71729.0
1775806202.584,2.584,0.6,0.61,0.39,0.4,0.01,0.01,71731.52
1775806203.03,3.03,0.58,0.59,0.4,0.41,0.01,0.01,71731.52
1775806203.425,3.425,0.58,0.59,0.41,0.42,0.01,0.01,71731.52
1775806203.789,3.789,0.58,0.59,0.41,0.42,0.01,0.01,71731.91
1775806204.223,4.223,0.58,0.59,0.41,0.42,0.01,0.01,71731.91
1775806204.656,4.656,0.58,0.59,0.41,0.42,0.01,0.01,71734.69
1775806205.017,5.017,0.58,0.59,0.41,0.42,0.01,0.01,71734.04
1775806205.369,5.369,0.57,0.58,0.41,0.42,0.01,0.01,71734.04
1775806205.734,5.734,0.57,0.59,0.42,0.43,0.02,0.01,71734.04
1775806206.274,6.274,0.57,0.58,0.42,0.43,0.01,0.01,71733.46
1775806206.638,6.638,0.57,0.58,0.42,0.43,0.01,0.01,71733.46
1775806207.155,7.155,0.57,0.58,0.42,0.43,0.01,0.01,71733.46
1775806207.662,7.662,0.56,0.57,0.42,0.44,0.01,0.02,71733.46
1775806208.038,8.038,0.56,0.57,0.43,0.44,0.01,0.01,71733.46
1775806208.376,8.376,0.56,0.57,0.43,0.44,0.01,0.01,71735.5
1775806208.764,8.764,0.56,0.57,0.43,0.44,0.01,0.01,71735.5
1775806209.446,9.446,0.56,0.57,0.43,0.44,0.01,0.01,71735.5
1775806210.222,10.222,0.54,0.55,0.45,0.46,0.01,0.01,71734.67
1775806210.556,10.556,0.54,0.55,0.45,0.46,0.01,0.01,71734.67
1775806211.028,11.028,0.54,0.55,0.45,0.46,0.01,0.01,71734.83
1775806211.385,11.385,0.54,0.55,0.45,0.46,0.01,0.01,71734.83
1775806211.788,11.788,0.54,0.55,0.45,0.46,0.01,0.01,71734.83
1775806212.175,12.175,0.57,0.58,0.42,0.46,0.01,0.04,71734.0
1775806212.519,12.519,0.57,0.58,0.42,0.43,0.01,0.01,71734.0
1775806213.151,13.151,0.57,0.58,0.42,0.43,0.01,0.01,71734.56
1775806213.554,13.554,0.57,0.58,0.42,0.43,0.01,0.01,71734.56
1775806214.328,14.328,0.57,0.58,0.42,0.43,0.01,0.01,71736.14
1775806214.773,14.773,0.58,0.59,0.41,0.42,0.01,0.01,71735.95
1775806215.451,15.451,0.58,0.59,0.41,0.42,0.01,0.01,71734.65
1775806216.045,16.045,0.59,0.6,0.4,0.42,0.01,0.02,71734.65
1775806216.452,16.452,0.59,0.6,0.4,0.41,0.01,0.01,71734.65
1775806216.909,16.909,0.59,0.61,0.4,0.41,0.02,0.01,71734.85
1775806217.256,17.256,0.6,0.61,0.39,0.41,0.01,0.02,71734.85
1775806217.632,17.632,0.6,0.61,0.39,0.4,0.01,0.01,71738.93
1775806218.046,18.046,0.6,0.61,0.39,0.4,0.01,0.01,71738.93
1775806218.498,18.498,0.6,0.61,0.39,0.4,0.01,0.01,71738.94
1775806218.932,18.932,0.6,0.61,0.39,0.4,0.01,0.01,71738.94
1775806219.323,19.323,0.6,0.61,0.39,0.4,0.01,0.01,71738.94
1775806219.949,19.949,0.59,0.6,0.4,0.41,0.01,0.01,71733.57
1775806220.296,20.296,0.56,0.59,0.41,0.44,0.03,0.03,71733.61
1775806220.713,20.713,0.57,0.58,0.41,0.46,0.01,0.05,71733.61
1775806221.344,21.344,0.57,0.58,0.42,0.43,0.01,0.01,71733.61
1775806221.732,21.732,0.57,0.58,0.42,0.43,0.01,0.01,71733.96
1775806222.184,22.184,0.57,0.58,0.42,0.43,0.01,0.01,71733.96
1775806222.554,22.554,0.57,0.58,0.42,0.43,0.01,0.01,71731.85
1775806222.943,22.943,0.57,0.58,0.42,0.43,0.01,0.01,71731.85
1775806224.346,24.346,0.57,0.58,0.42,0.43,0.01,0.01,71732.01
1775806225.174,25.174,0.57,0.58,0.42,0.43,0.01,0.01,71731.76
1775806225.558,25.558,0.55,0.56,0.44,0.46,0.01,0.02,71731.76
1775806226.189,26.189,0.55,0.56,0.44,0.45,0.01,0.01,71731.76
1775806226.705,26.705,0.55,0.56,0.44,0.45,0.01,0.01,71732.01
1775806227.04,27.04,0.55,0.56,0.44,0.45,0.01,0.01,71732.01
1775806227.455,27.455,0.55,0.56,0.44,0.45,0.01,0.01,71732.01
1775806227.791,27.791,0.55,0.56,0.44,0.45,0.01,0.01,71732.01
1775806228.179,28.179,0.52,0.56,0.44,0.45,0.04,0.01,71732.01
1775806228.537,28.537,0.53,0.55,0.45,0.47,0.02,0.02,71732.01
1775806228.999,28.999,0.55,0.56,0.44,0.46,0.01,0.02,71732.96
1775806229.35,29.35,0.55,0.56,0.44,0.45,0.01,0.01,71732.96
1775806229.811,29.811,0.55,0.56,0.44,0.45,0.01,0.01,71732.01
1775806230.151,30.151,0.55,0.56,0.44,0.45,0.01,0.01,71732.01
