timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776510000.593,0.593,0.53,0.54,0.45,0.46,0.01,0.01,76212.75,1776509999000
1776510000.937,0.937,0.52,0.54,0.46,0.48,0.02,0.02,76212.75,1776509999000
1776510001.574,1.574,0.53,0.54,0.46,0.47,0.01,0.01,76213.58,1776510000000
1776510002.181,2.181,0.53,0.54,0.46,0.47,0.01,0.01,76213.59,1776510001000
1776510002.674,2.674,0.53,0.54,0.46,0.47,0.01,0.01,76213.59,1776510001000
1776510003.348,3.348,0.53,0.54,0.46,0.47,0.01,0.01,76212.6,1776510002000
1776510003.955,3.955,0.53,0.54,0.46,0.47,0.01,0.01,76212.6,1776510002000
1776510004.334,4.334,0.53,0.55,0.46,0.47,0.02,0.01,76212.6,1776510002000
1776510004.68,4.68,0.53,0.54,0.46,0.47,0.01,0.01,76212.63,1776510003000
1776510005.026,5.026,0.53,0.54,0.46,0.47,0.01,0.01,76212.63,1776510003000
1776510005.387,5.387,0.52,0.54,0.46,0.48,0.02,0.02,76212.63,1776510004000
1776510006.234,6.234,0.52,0.53,0.46,0.47,0.01,0.01,76212.63,1776510004000
1776510006.623,6.623,0.52,0.53,0.47,0.48,0.01,0.01,76211.76,1776510005000
1776510007.18,7.18,0.51,0.52,0.47,0.49,0.01,0.02,76211.76,1776510005000
1776510007.515,7.515,0.51,0.52,0.48,0.49,0.01,0.01,76211.76,1776510005000
1776510008.028,8.028,0.51,0.52,0.48,0.49,0.01,0.01,76211.76,1776510005000
1776510008.365,8.365,0.51,0.52,0.48,0.49,0.01,0.01,76211.76,1776510005000
1776510008.849,8.849,0.51,0.52,0.48,0.49,0.01,0.01,76211.84,1776510007000
1776510009.204,9.204,0.51,0.52,0.48,0.49,0.01,0.01,76211.84,1776510007000
1776510010.306,10.306,0.51,0.52,0.48,0.49,0.01,0.01,76211.99,1776510009000
1776510011.852,11.852,0.51,0.52,0.48,0.49,0.01,0.01,76211.99,1776510009000
1776510012.389,12.389,0.51,0.52,0.48,0.49,0.01,0.01,76211.99,1776510010000
1776510012.726,12.726,0.5,0.52,0.48,0.5,0.02,0.02,76208.1,1776510011000
1776510013.068,13.068,0.49,0.52,0.48,0.51,0.03,0.03,76207.74,1776510012000
