timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1777297500.56,0.56,0.46,0.48,0.51,0.52,0.02,0.01,77860.63,1777297499000
1777297500.98,0.98,0.45,0.47,0.52,0.54,0.02,0.02,77860.63,1777297499000
1777297501.321,1.321,0.45,0.46,0.54,0.55,0.01,0.01,77856.08,1777297500000
1777297501.714,1.714,0.45,0.46,0.54,0.55,0.01,0.01,77856.08,1777297500000
1777297502.411,2.411,0.45,0.46,0.54,0.55,0.01,0.01,77851.98,1777297501000
1777297502.823,2.823,0.45,0.46,0.54,0.55,0.01,0.01,77851.98,1777297501000
1777297503.228,3.228,0.45,0.46,0.54,0.55,0.01,0.01,77851.65,1777297502000
1777297503.618,3.618,0.45,0.46,0.53,0.55,0.01,0.02,77851.65,1777297502000
1777297503.958,3.958,0.44,0.45,0.55,0.57,0.01,0.02,77851.65,1777297502000
1777297504.432,4.432,0.44,0.45,0.55,0.56,0.01,0.01,77846.82,1777297503000
1777297504.977,4.977,0.44,0.45,0.55,0.56,0.01,0.01,77846.82,1777297503000
1777297505.463,5.463,0.44,0.48,0.55,0.56,0.04,0.01,77848.24,1777297504000
1777297505.856,5.856,0.5,0.51,0.45,0.5,0.01,0.05,77848.24,1777297504000
1777297506.498,6.498,0.51,0.52,0.48,0.49,0.01,0.01,77847.72,1777297505000
1777297507.136,7.136,0.52,0.53,0.48,0.49,0.01,0.01,77847.72,1777297505000
1777297507.724,7.724,0.52,0.53,0.47,0.48,0.01,0.01,77850.47,1777297506000
1777297508.156,8.156,0.53,0.54,0.46,0.47,0.01,0.01,77850.47,1777297506000
1777297508.532,8.532,0.53,0.55,0.45,0.47,0.02,0.02,77860.18,1777297507000
1777297509.025,9.025,0.54,0.55,0.45,0.46,0.01,0.01,77860.18,1777297507000
1777297509.371,9.371,0.54,0.55,0.45,0.46,0.01,0.01,77860.18,1777297507000
1777297509.843,9.843,0.54,0.55,0.45,0.46,0.01,0.01,77862.63,1777297508000
1777297510.271,10.271,0.53,0.55,0.45,0.46,0.02,0.01,77862.63,1777297508000
1777297510.81,10.81,0.53,0.54,0.45,0.47,0.01,0.02,77862.63,1777297508000
1777297511.154,11.154,0.5,0.51,0.49,0.5,0.01,0.01,77861.38,1777297509000
1777297511.573,11.573,0.5,0.51,0.49,0.5,0.01,0.01,77861.38,1777297509000
1777297511.975,11.975,0.49,0.51,0.49,0.51,0.02,0.02,77860.71,1777297510000
1777297512.59,12.59,0.48,0.49,0.5,0.52,0.01,0.02,77860.71,1777297510000
1777297513.3,13.3,0.48,0.49,0.51,0.52,0.01,0.01,77860.71,1777297510000
1777297513.817,13.817,0.48,0.49,0.51,0.52,0.01,0.01,77861.96,1777297511000
1777297514.875,14.875,0.48,0.49,0.51,0.52,0.01,0.01,77858.6,1777297512000
1777297515.258,15.258,0.48,0.49,0.51,0.52,0.01,0.01,77853.41,1777297513000
1777297515.684,15.684,0.48,0.49,0.51,0.52,0.01,0.01,77853.41,1777297513000
1777297516.102,16.102,0.45,0.49,0.51,0.53,0.04,0.02,77853.41,1777297513000
1777297516.758,16.758,0.45,0.46,0.52,0.56,0.01,0.04,77852.09,1777297514000
1777297517.181,17.181,0.43,0.44,0.54,0.57,0.01,0.03,77852.09,1777297514000
1777297517.545,17.545,0.43,0.44,0.56,0.57,0.01,0.01,77853.2,1777297515000
1777297517.895,17.895,0.43,0.44,0.56,0.57,0.01,0.01,77852.41,1777297516000
1777297518.246,18.246,0.43,0.44,0.56,0.57,0.01,0.01,77852.41,1777297516000
1777297518.777,18.777,0.43,0.44,0.56,0.57,0.01,0.01,77852.41,1777297516000
1777297519.289,19.289,0.43,0.44,0.56,0.57,0.01,0.01,77844.76,1777297517000
1777297519.782,19.782,0.43,0.44,0.56,0.57,0.01,0.01,77842.97,1777297518000
1777297520.477,20.477,0.43,0.44,0.56,0.57,0.01,0.01,77842.97,1777297518000
1777297520.992,20.992,0.43,0.44,0.56,0.57,0.01,0.01,77842.97,1777297518000
1777297521.348,21.348,0.44,0.45,0.55,0.57,0.01,0.02,77841.94,1777297519000
1777297522.027,22.027,0.44,0.45,0.55,0.56,0.01,0.01,77842.25,1777297520000
1777297522.471,22.471,0.44,0.45,0.55,0.56,0.01,0.01,77842.25,1777297520000
1777297522.827,22.827,0.44,0.45,0.55,0.56,0.01,0.01,77842.62,1777297521000
1777297523.739,23.739,0.44,0.45,0.55,0.56,0.01,0.01,77842.62,1777297521000
1777297524.098,24.098,0.4,0.41,0.59,0.6,0.01,0.01,77843.25,1777297522000
1777297524.49,24.49,0.4,0.41,0.59,0.6,0.01,0.01,77843.25,1777297522000
1777297524.872,24.872,0.4,0.41,0.59,0.6,0.01,0.01,77843.1,1777297523000
1777297525.245,25.245,0.39,0.4,0.59,0.61,0.01,0.02,77843.1,1777297523000
1777297525.701,25.701,0.39,0.4,0.6,0.61,0.01,0.01,77840.02,1777297524000
1777297526.206,26.206,0.39,0.4,0.6,0.61,0.01,0.01,77840.02,1777297524000
1777297526.614,26.614,0.39,0.4,0.6,0.61,0.01,0.01,77840.02,1777297524000
1777297526.949,26.949,0.39,0.4,0.6,0.61,0.01,0.01,77835.69,1777297525000
1777297527.317,27.317,0.39,0.4,0.6,0.61,0.01,0.01,77835.69,1777297525000
1777297527.702,27.702,0.41,0.43,0.58,0.61,0.02,0.03,77835.69,1777297525000
1777297528.251,28.251,0.41,0.42,0.58,0.59,0.01,0.01,77835.57,1777297526000
1777297528.712,28.712,0.41,0.42,0.58,0.59,0.01,0.01,77835.33,1777297527000
1777297529.228,29.228,0.41,0.42,0.58,0.59,0.01,0.01,77835.33,1777297527000
1777297529.837,29.837,0.41,0.42,0.58,0.59,0.01,0.01,77836.71,1777297528000
1777297530.236,30.236,0.41,0.42,0.58,0.59,0.01,0.01,77836.59,1777297529000
1777297531.527,31.527,0.41,0.42,0.58,0.59,0.01,0.01,77833.2,1777297530000
1777297531.869,31.869,0.41,0.42,0.58,0.59,0.01,0.01,77833.2,1777297530000
1777297532.359,32.359,0.39,0.42,0.58,0.61,0.03,0.03,77829.22,1777297531000
1777297532.692,32.692,0.33,0.34,0.63,0.67,0.01,0.04,77829.22,1777297531000
1777297533.193,33.193,0.33,0.34,0.66,0.68,0.01,0.02,77829.22,1777297531000
1777297533.529,33.529,0.3,0.34,0.66,0.69,0.04,0.03,77809.19,1777297532000
1777297533.874,33.874,0.35,0.36,0.63,0.65,0.01,0.02,77809.19,1777297532000
1777297534.215,34.215,0.32,0.34,0.66,0.68,0.02,0.02,77809.19,1777297532000
1777297534.576,34.576,0.31,0.32,0.68,0.69,0.01,0.01,77803.21,1777297533000
1777297534.936,34.936,0.31,0.32,0.68,0.69,0.01,0.01,77803.21,1777297533000
1777297535.371,35.371,0.32,0.33,0.67,0.69,0.01,0.02,77801.86,1777297534000
1777297535.717,35.717,0.32,0.33,0.67,0.68,0.01,0.01,77801.86,1777297534000
1777297536.056,36.056,0.32,0.33,0.67,0.68,0.01,0.01,77801.86,1777297534000
1777297536.426,36.426,0.32,0.33,0.67,0.68,0.01,0.01,77801.86,1777297534000
1777297536.821,36.821,0.31,0.32,0.68,0.69,0.01,0.01,77801.25,1777297535000
1777297537.525,37.525,0.3,0.31,0.66,0.69,0.01,0.03,77801.25,1777297535000
1777297538.072,38.072,0.3,0.31,0.69,0.7,0.01,0.01,77802.24,1777297536000
1777297538.475,38.475,0.3,0.31,0.69,0.7,0.01,0.01,77802.23,1777297537000
1777297538.85,38.85,0.3,0.31,0.69,0.7,0.01,0.01,77802.23,1777297537000
1777297539.375,39.375,0.3,0.31,0.69,0.7,0.01,0.01,77802.34,1777297538000
1777297539.759,39.759,0.3,0.31,0.69,0.7,0.01,0.01,77802.34,1777297538000
1777297540.315,40.315,0.3,0.31,0.69,0.7,0.01,0.01,77803.22,1777297539000
1777297540.651,40.651,0.3,0.31,0.69,0.7,0.01,0.01,77803.22,1777297539000
1777297540.995,40.995,0.3,0.33,0.69,0.7,0.03,0.01,77803.22,1777297539000
1777297541.56,41.56,0.3,0.31,0.69,0.7,0.01,0.01,77802.01,1777297540000
1777297541.91,41.91,0.3,0.31,0.69,0.7,0.01,0.01,77802.01,1777297540000
1777297542.364,42.364,0.29,0.3,0.7,0.71,0.01,0.01,77802.1,1777297541000
1777297542.714,42.714,0.29,0.3,0.7,0.71,0.01,0.01,77802.1,1777297541000
1777297543.068,43.068,0.29,0.3,0.7,0.71,0.01,0.01,77802.1,1777297541000
1777297543.445,43.445,0.29,0.3,0.7,0.71,0.01,0.01,77801.16,1777297542000
1777297544.188,44.188,0.29,0.3,0.7,0.71,0.01,0.01,77801.16,1777297542000
1777297544.607,44.607,0.29,0.3,0.7,0.71,0.01,0.01,77801.16,1777297542000
1777297544.965,44.965,0.29,0.3,0.7,0.71,0.01,0.01,77801.16,1777297543000
1777297545.466,45.466,0.29,0.3,0.7,0.71,0.01,0.01,77801.16,1777297544000
1777297545.898,45.898,0.29,0.3,0.7,0.71,0.01,0.01,77801.16,1777297544000
1777297546.43,46.43,0.29,0.3,0.7,0.71,0.01,0.01,77801.16,1777297544000
1777297546.819,46.819,0.29,0.3,0.7,0.71,0.01,0.01,77801.16,1777297544000
1777297547.296,47.296,0.29,0.3,0.7,0.71,0.01,0.01,77801.83,1777297545000
1777297547.635,47.635,0.29,0.3,0.7,0.71,0.01,0.01,77801.83,1777297545000
1777297548.041,48.041,0.29,0.3,0.7,0.71,0.01,0.01,77801.63,1777297546000
1777297548.724,48.724,0.28,0.29,0.7,0.72,0.01,0.02,77801.5,1777297547000
1777297549.072,49.072,0.28,0.29,0.71,0.72,0.01,0.01,77801.5,1777297547000
1777297549.41,49.41,0.28,0.29,0.71,0.72,0.01,0.01,77802.21,1777297548000
1777297549.756,49.756,0.28,0.29,0.71,0.72,0.01,0.01,77802.21,1777297548000
1777297550.243,50.243,0.28,0.29,0.71,0.72,0.01,0.01,77802.21,1777297548000
1777297550.617,50.617,0.28,0.29,0.71,0.72,0.01,0.01,77802.21,1777297548000
1777297551.028,51.028,0.28,0.29,0.71,0.72,0.01,0.01,77797.32,1777297549000
1777297551.395,51.395,0.28,0.3,0.7,0.72,0.02,0.02,77797.33,1777297550000
1777297551.9,51.9,0.28,0.29,0.71,0.72,0.01,0.01,77797.33,1777297550000
1777297552.317,52.317,0.28,0.29,0.71,0.72,0.01,0.01,77797.33,1777297550000
1777297552.666,52.666,0.28,0.29,0.71,0.72,0.01,0.01,77799.38,1777297551000
1777297553.632,53.632,0.28,0.29,0.71,0.72,0.01,0.01,77800.49,1777297552000
1777297554.012,54.012,0.28,0.29,0.71,0.72,0.01,0.01,77800.49,1777297552000
1777297554.572,54.572,0.28,0.29,0.71,0.72,0.01,0.01,77800.19,1777297553000
1777297555.031,55.031,0.28,0.29,0.71,0.72,0.01,0.01,77800.19,1777297553000
1777297555.386,55.386,0.28,0.29,0.71,0.72,0.01,0.01,77800.79,1777297554000
1777297555.741,55.741,0.28,0.29,0.71,0.72,0.01,0.01,77800.79,1777297554000
1777297556.15,56.15,0.28,0.29,0.71,0.72,0.01,0.01,77800.79,1777297554000
1777297556.495,56.495,0.28,0.29,0.71,0.72,0.01,0.01,77800.79,1777297554000
1777297556.923,56.923,0.28,0.29,0.71,0.72,0.01,0.01,77800.39,1777297555000
1777297557.256,57.256,0.28,0.29,0.71,0.72,0.01,0.01,77799.7,1777297556000
1777297557.675,57.675,0.27,0.28,0.71,0.73,0.01,0.02,77799.7,1777297556000
1777297558.03,58.03,0.27,0.28,0.72,0.73,0.01,0.01,77799.7,1777297556000
1777297558.418,58.418,0.26,0.27,0.73,0.74,0.01,0.01,77799.82,1777297557000
1777297558.823,58.823,0.26,0.27,0.73,0.74,0.01,0.01,77799.82,1777297557000
1777297559.374,59.374,0.26,0.27,0.73,0.74,0.01,0.01,77798.61,1777297558000
1777297560.221,60.221,0.26,0.27,0.73,0.74,0.01,0.01,77798.61,1777297558000
1777297561.062,61.062,0.25,0.27,0.73,0.75,0.02,0.02,77797.77,1777297560000
1777297561.718,61.718,0.25,0.26,0.73,0.75,0.01,0.02,77797.77,1777297560000
1777297562.072,62.072,0.25,0.26,0.74,0.75,0.01,0.01,77792.2,1777297561000
