timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1775933100.502,0.502,0.45,0.48,0.54,0.55,0.03,0.01,73489.98,1775933099000
1775933100.89,0.89,0.48,0.49,0.51,0.52,0.01,0.01,73489.98,1775933099000
1775933101.234,1.234,0.48,0.49,0.51,0.52,0.01,0.01,73489.16,1775933100000
1775933101.572,1.572,0.48,0.49,0.51,0.52,0.01,0.01,73489.16,1775933100000
1775933101.926,1.926,0.49,0.5,0.5,0.51,0.01,0.01,73489.16,1775933100000
1775933102.268,2.268,0.47,0.48,0.52,0.53,0.01,0.01,73488.37,1775933101000
1775933102.629,2.629,0.47,0.48,0.52,0.53,0.01,0.01,73488.37,1775933101000
1775933102.987,2.987,0.52,0.53,0.47,0.48,0.01,0.01,73488.37,1775933101000
1775933103.324,3.324,0.56,0.57,0.43,0.44,0.01,0.01,73488.37,1775933101000
1775933103.657,3.657,0.58,0.6,0.41,0.42,0.02,0.01,73494.39,1775933102000
1775933103.999,3.999,0.58,0.59,0.41,0.42,0.01,0.01,73494.39,1775933102000
1775933104.402,4.402,0.58,0.59,0.41,0.42,0.01,0.01,73504.66,1775933103000
1775933104.746,4.746,0.58,0.59,0.41,0.42,0.01,0.01,73504.66,1775933103000
1775933105.109,5.109,0.58,0.59,0.41,0.42,0.01,0.01,73504.66,1775933103000
1775933105.454,5.454,0.58,0.59,0.41,0.42,0.01,0.01,73504.66,1775933103000
1775933105.801,5.801,0.58,0.59,0.41,0.42,0.01,0.01,73504.66,1775933103000
1775933106.374,6.374,0.58,0.59,0.41,0.42,0.01,0.01,73519.31,1775933104000
1775933106.71,6.71,0.56,0.58,0.43,0.44,0.02,0.01,73518.92,1775933105000
1775933107.085,7.085,0.59,0.6,0.4,0.41,0.01,0.01,73518.92,1775933105000
1775933107.51,7.51,0.59,0.6,0.4,0.41,0.01,0.01,73517.73,1775933106000
1775933107.846,7.846,0.59,0.6,0.4,0.41,0.01,0.01,73517.73,1775933106000
1775933108.196,8.196,0.62,0.64,0.36,0.38,0.02,0.02,73517.73,1775933106000
1775933108.532,8.532,0.64,0.66,0.34,0.36,0.02,0.02,73517.73,1775933106000
1775933108.909,8.909,0.65,0.66,0.34,0.35,0.01,0.01,73517.73,1775933106000
1775933109.29,9.29,0.65,0.66,0.34,0.35,0.01,0.01,73516.3,1775933107000
